"","fullname","new_fullname","family","order","IOC_seq","family_clements","order_clements"
"19","Dicrurus sp NA","Dicrurus sp","Dicruridae","Passeriformes",NA,NA,NA
"20","Phaeomyias murina obsoletum","Nesotriccus murinus","Tyrannidae","Passeriformes",NA,NA,NA
"21","Onychorhynchus mexicanus mexicanus","Onychorhynchus mexicanus mexicanus","Tyrannidae","Passeriformes",NA,NA,NA
"22","Onychorhynchus mexicanus fraterculus","Onychorhynchus mexicanus fraterculus","Tyrannidae","Passeriformes",NA,NA,NA
"23","Tyrannus sp NA","Tyrannus sp","Tyrannidae","Passeriformes",NA,NA,NA
"24","Tangara sp NA","Tangara sp","Emberizidae","Passeriformes",NA,NA,NA
"25","Euphonia sp NA","Euphonia sp","Emberizidae","Passeriformes",NA,NA,NA
"26","Myiarchus sp NA","Myiarchus sp","Tyrannidae","Passeriformes",NA,NA,NA
"27","Contopus cinereus rhizophora","Contopus cinereus rhizophorus","Tyrannidae","Passeriformes",NA,NA,NA
"28","Catharus sp NA","Catharus sp","Muscicapidae","Passeriformes",NA,NA,NA
"29","Pyrrhula pyrrhula europaea","Pyrrhula pyrrhula europaea","Fringillidae","Passeriformes",NA,NA,NA
"30","Diomedea sp NA","Diomedea sp","Diomedeidae","Procellariiformes",NA,NA,NA
"31","Phalacrocorax sp NA","Phalacrocorax sp","Phalacrocoracidae","Pelecaniformes",NA,NA,NA
"32","Pelecanus sp NA","Pelecanus sp","Pelecanidae","Pelecaniformes",NA,NA,NA
"33","Anas NA NA",NA,NA,NA,428,NA,"ANSERIFORMES"
"34","Cacatua leadbeateri leadbeateri","Cacatua leadbeateri leadbeateri","Cacatuidae","Psittaciformes",NA,NA,NA
"35","Anas sp NA","Anas sp","Anatidae","Anseriformes",NA,NA,NA
"36","Harpactes reinwardtii reinwardti","Apalharpactes reinwardtii","Trogonidae","Trogoniformes",NA,NA,NA
"37","Sterna sandvicensis caboti","Thalasseus acuflavidus","Laridae","Charadriiformes",NA,NA,NA
"38","Cacatua leadbeateri NA","Cacatua leadbeateri","Cacatuidae","Psittaciformes",NA,NA,NA
"39","Agapornis sp NA","Agapornis sp","Psittacidae","Psittaciformes",NA,NA,NA
"40","Ketupa ketupa NA","Ketupa ketupa","Strigidae","Strigiformes",NA,NA,NA
"41","Neochen jubatus NA","Neochen jubata","Anatidae","Anseriformes",NA,NA,NA
"42","Podargus sp NA","Podargus sp","Podargidae","Caprimulgiformes",NA,NA,NA
"43","Casuarius sp NA","Casuarius sp","Casuariidae","Casuariiformes",NA,NA,NA
"44","Scolopax sp NA","Scolopax sp","Scolopacidae","Charadriiformes",NA,NA,NA
"45","Egretta sp NA","Ardea sp","Ardeidae","Ciconiiformes",NA,NA,NA
"46","Columba sp NA","Columba sp","Columbidae","Columbiformes",NA,NA,NA
"47","Buceros sp NA","Buceros sp","Bucerotidae","Coraciiformes",NA,NA,NA
"48","Merops sp NA","Merops sp","Meropidae","Coraciiformes",NA,NA,NA
"49","Aquila sp NA","Aquila sp","Accipitridae","Falconiformes",NA,NA,NA
"50","Lophura imperialis NA","Lophura edwardsi x nycthemera","Phasianidae","Galliformes",NA,NA,NA
"51","Collocalia vanikorensis palawanensis","Aerodramus palawanensis","Apodidae","Apodiformes",NA,NA,NA
"52","Psophia sp NA","Psophia sp","Psophiidae","Gruiformes",NA,NA,NA
"53","Emeus exilis NA","Emeus exilis","Dinornithidae","Dinornithiformes",NA,NA,NA
"54","Nectarinia sp NA","Nectarinia sp","Nectariniidae","Passeriformes",NA,NA,NA
"55","Chendytes lawi cf NA","Chendytes lawi","Anatidae","Anseriformes",NA,NA,NA
