"","sciname","genus","species","family","order"
"5276","Carpodacus rhodopeplus","Carpodacus","rhodopeplus","Fringillidae","Passeriformes"
"5277","Picumnus innominatus","Picumnus","innominatus","Picidae","Piciformes"
"5278","Dendrocopos auriceps","Dendrocopos","auriceps","Picidae","Piciformes"
"5279","Dendrocopos moluccensis","Dendrocopos","moluccensis","Picidae","Piciformes"
"5280","Oceanites oceanites","Oceanites","oceanites","Hydrobatidae","Procellariiformes"
"5281","Carduelis communis","Carduelis","communis","Fringillidae","Passeriformes"
"5282","Larus minutus","Larus","minutus","Laridae","Charadriiformes"
"5283","Philydor ruficaudatus","Philydor","ruficaudatus","Furnariidae","Passeriformes"
"5284","Thlypopsis fulviceps","Thlypopsis","fulviceps","Emberizidae","Passeriformes"
"5285","Synallaxis castanea","Synallaxis","castanea","Furnariidae","Passeriformes"
"5286","Phaps elegans","Phaps","elegans","Columbidae","Columbiformes"
"5287","Caprimulgus poliocephalus","Caprimulgus","poliocephalus","Caprimulgidae","Caprimulgiformes"
"5288","Fraseria cinerascens","Fraseria","cinerascens","Muscicapidae","Passeriformes"
"5289","Athene noctua","Athene","noctua","Strigidae","Strigiformes"
"5290","Pezoporus wallicus","Pezoporus","wallicus","Psittacidae","Psittaciformes"
"5291","Psittacella brehmii","Psittacella","brehmii","Psittacidae","Psittaciformes"
"5292","Tadorna cana","Tadorna","cana","Anatidae","Anseriformes"
"5293","Neafrapus cassini","Neafrapus","cassini","Apodidae","Apodiformes"
"5294","Ibidorhyncha struthersii","Ibidorhyncha","struthersii","Ibidorhynchidae","Charadriiformes"
"5295","Gallinago nemoricola","Gallinago","nemoricola","Scolopacidae","Charadriiformes"
"5296","Apus pacificus","Apus","pacificus","Apodidae","Apodiformes"
"5297","Microparra capensis","Microparra","capensis","Jacanidae","Charadriiformes"
"5298","Numenius minutus","Numenius","minutus","Scolopacidae","Charadriiformes"
"5299","Columba albinucha","Columba","albinucha","Columbidae","Columbiformes"
"5300","Columba punicea","Columba","punicea","Columbidae","Columbiformes"
"5301","Cercococcyx olivinus","Cercococcyx","olivinus","Cuculidae","Cuculiformes"
"5302","Falco ardosiaceus","Falco","ardosiaceus","Falconidae","Falconiformes"
"5303","Todus multicolor","Todus","multicolor","Todidae","Coraciiformes"
"5304","Circaetus cinerascens","Circaetus","cinerascens","Accipitridae","Falconiformes"
"5305","Circaetus fasciolatus","Circaetus","fasciolatus","Accipitridae","Falconiformes"
"5306","Ammoperdix griseogularis","Ammoperdix","griseogularis","Phasianidae","Galliformes"
"5307","Coturnix japonica","Coturnix","japonica","Phasianidae","Galliformes"
"5308","Francolinus rufopictus","Francolinus","rufopictus","Phasianidae","Galliformes"
"5309","Neotis ludwigii","Neotis","ludwigii","Otididae","Gruiformes"
"5310","Lissotis hartlaubii","Lissotis","hartlaubii","Otididae","Gruiformes"
"5311","Turnix hottentotta","Turnix","hottentotta","Turnicidae","Gruiformes"
"5312","Crecopsis egregia","Crecopsis","egregia","Rallidae","Gruiformes"
"5313","Megadyptes antipodes","Megadyptes","antipodes","Spheniscidae","Sphenisciformes"
"5314","Mirafra collaris","Mirafra","collaris","Alaudidae","Passeriformes"
"5315","Mirafra gilletti","Mirafra","gilletti","Alaudidae","Passeriformes"
