"","fullname","family","order","full_clements","IOC_seq","family_clements","order_clements"
"7606","Merops leschenaulti leschenaulti","Meropidae","Coraciiformes","Merops leschenaulti leschenaulti",10867,"Meropidae","CORACIIFORMES"
"7607","Nyctyornis athertoni athertoni","Meropidae","Coraciiformes","Nyctyornis athertoni athertoni",10797,"Meropidae","CORACIIFORMES"
"7608","Cuculus canorus bakeri","Cuculidae","Cuculiformes","Cuculus canorus bakeri",4349,"Cuculidae","CUCULIFORMES"
"7609","Cuculus micropterus micropterus","Cuculidae","Cuculiformes","Cuculus micropterus micropterus",4329,"Cuculidae","CUCULIFORMES"
"7610","Centropus sinensis intermedius","Cuculidae","Cuculiformes","Centropus sinensis intermedius",3959,"Cuculidae","CUCULIFORMES"
"7611","Microhierax caerulescens burmanicus","Falconidae","Falconiformes","Microhierax caerulescens burmanicus",12805,"Falconidae","FALCONIFORMES"
"7612","Spilornis cheela burmanicus","Accipitridae","Falconiformes","Spilornis cheela burmanicus",8237,"Accipitridae","ACCIPITRIFORMES"
"7613","Accipiter badius poliopsis","Accipitridae","Falconiformes","Accipiter badius poliopsis",8432,"Accipitridae","ACCIPITRIFORMES"
"7614","Accipiter trivirgatus indicus","Accipitridae","Falconiformes","Accipiter trivirgatus indicus",8400,"Accipitridae","ACCIPITRIFORMES"
"7615","Haliastur indus indus","Accipitridae","Falconiformes","Haliastur indus indus",8636,"Accipitridae","ACCIPITRIFORMES"
"7616","Francolinus pintadeanus phayrei","Phasianidae","Galliformes","Francolinus pintadeanus phayrei",1502,"Phasianidae","GALLIFORMES"
"7617","Polyplectron bicalcaratum bicalcaratum","Phasianidae","Galliformes","Polyplectron bicalcaratum NA",1458,"Phasianidae","GALLIFORMES"
"7618","Turnix suscitator plumbipes","Turnicidae","Gruiformes","Turnix suscitator plumbipes",6305,"Turnicidae","CHARADRIIFORMES"
"7619","Pellorneum ruficeps stageri","Muscicapidae","Passeriformes","Pellorneum ruficeps stageri",27842,"Pellorneidae","PASSERIFORMES"
"7620","Dendrocitta formosae himalayensis","Corvidae","Passeriformes","Dendrocitta formosae himalayana",22760,"Corvidae","PASSERIFORMES"
"7621","Dendrocitta vagabunda sclateri","Corvidae","Passeriformes","Dendrocitta vagabunda sclateri",22750,"Corvidae","PASSERIFORMES"
"7622","Urocissa erythrorhyncha magnirostris","Corvidae","Passeriformes","Urocissa erythroryncha magnirostris",22720,"Corvidae","PASSERIFORMES"
"7623","Corvus macrorhynchos levaillantii","Corvidae","Passeriformes","Corvus macrorhynchos levaillantii",22919,"Corvidae","PASSERIFORMES"
"7624","Megalaima asiatica asiatica","Capitonidae","Piciformes","Psilopogon asiaticus asiaticus",11314,"Megalaimidae","PICIFORMES"
