"","fullname","family","order","full_clements","IOC_seq","family_clements","order_clements"
"3081","Puffinus griseus NA","Procellariidae","Procellariiformes","Ardenna grisea NA",7548,"Procellariidae","PROCELLARIIFORMES"
"3082","Asio otus wilsonianus","Strigidae","Strigiformes","Asio otus wilsonianus",9413,"Strigidae","STRIGIFORMES"
"3083","Vermivora celata NA","Parulidae","Passeriformes","Leiothlypis celata NA",35801,"Parulidae","PASSERIFORMES"
"3084","Streptopelia decaocto decaocto","Columbidae","Columbiformes","Streptopelia decaocto NA",4622,"Columbidae","COLUMBIFORMES"
"3085","Ardea alba egretta","Ardeidae","Ciconiiformes","Ardea alba egretta",8020,"Ardeidae","PELECANIFORMES"
"3086","Dryocopus pileatus NA","Picidae","Piciformes","Dryocopus pileatus NA",12487,"Picidae","PICIFORMES"
"3087","Serinus canicollis sassii","Fringillidae","Passeriformes","Serinus flavivertex sassii",34380,"Fringillidae","PASSERIFORMES"
"3088","Pyrrhula pyrrhula pyrrhula","Fringillidae","Passeriformes","Pyrrhula pyrrhula pyrrhula",33903,"Fringillidae","PASSERIFORMES"
"3089","Pyrrhula pyrrhula NA","Fringillidae","Passeriformes","Pyrrhula pyrrhula NA",33901,"Fringillidae","PASSERIFORMES"
"3090","Pinicola enucleator leucurus","Fringillidae","Passeriformes","Pinicola enucleator leucura",33879,"Fringillidae","PASSERIFORMES"
"3091","Pinicola enucleator eschatosus","Fringillidae","Passeriformes","Pinicola enucleator leucura",33881,"Fringillidae","PASSERIFORMES"
"3092","Pinicola enucleator alascensis","Fringillidae","Passeriformes","Pinicola enucleator leucura",33880,"Fringillidae","PASSERIFORMES"
"3093","Pinicola enucleator NA","Fringillidae","Passeriformes","Pinicola enucleator NA",33870,"Fringillidae","PASSERIFORMES"
"3094","Lanius ludovicianus mearnsi","Laniidae","Passeriformes","Lanius ludovicianus mearnsi",22387,"Laniidae","PASSERIFORMES"
"3095","Laniarius ferrugineus ambiguus","Laniidae","Passeriformes","Laniarius major ambiguus",20139,"Malaconotidae","PASSERIFORMES"
"3096","Nilaus afer nigritemporalis","Laniidae","Passeriformes","Nilaus afer nigritemporalis",20172,"Malaconotidae","PASSERIFORMES"
"3097","Nilaus afer massaicus","Laniidae","Passeriformes","Nilaus afer massaicus",20171,"Malaconotidae","PASSERIFORMES"
"3098","Buteo jamaicensis calurus","Accipitridae","Falconiformes","Buteo jamaicensis calurus",8779,"Accipitridae","ACCIPITRIFORMES"
"3099","Glaucidium brasilianum nanum","Strigidae","Strigiformes","Glaucidium nana NA",9229,"Strigidae","STRIGIFORMES"
"3100","Gavia stellata NA","Gaviidae","Gaviiformes","Gavia stellata NA",7282,"Gaviidae","GAVIIFORMES"
"3101","Lanius collaris pyrrhostictus","Laniidae","Passeriformes","Lanius collaris pyrrhostictus",22418,"Laniidae","PASSERIFORMES"
"3102","Malaconotus blanchoti blanchoti","Laniidae","Passeriformes","Malaconotus blanchoti blanchoti",19995,"Malaconotidae","PASSERIFORMES"
"3103","Carduelis tristis jewetti","Fringillidae","Passeriformes","Spinus tristis jewetti",34391,"Fringillidae","PASSERIFORMES"
"3104","Lanius ludovicianus excubitorides","Laniidae","Passeriformes","Lanius ludovicianus excubitorides",22380,"Laniidae","PASSERIFORMES"
"3105","Prionops retzii graculina","Laniidae","Passeriformes","Prionops retzii graculinus",20247,"Vangidae","PASSERIFORMES"
"3106","Lanius excubitor borealis","Laniidae","Passeriformes","Lanius borealis borealis",22402,"Laniidae","PASSERIFORMES"
"3107","Lanius excubitor excubitor","Laniidae","Passeriformes","Lanius excubitor excubitor",22363,"Laniidae","PASSERIFORMES"
"3108","Tringa flavipes NA","Scolopacidae","Charadriiformes","Tringa flavipes NA",6818,"Scolopacidae","CHARADRIIFORMES"
"3109","Lanius collaris capelli","Laniidae","Passeriformes","Lanius humeralis capelli",22409,"Laniidae","PASSERIFORMES"
"3110","Prionops plumata poliocephala","Laniidae","Passeriformes","Prionops plumatus poliocephalus",20236,"Vangidae","PASSERIFORMES"
"3111","Prionops plumata vinaceigularis","Laniidae","Passeriformes","Prionops plumatus vinaceigularis",20234,"Vangidae","PASSERIFORMES"
"3112","Lanius collaris humeralis","Laniidae","Passeriformes","Lanius humeralis humeralis",22408,"Laniidae","PASSERIFORMES"
"3113","Lybius bidentatus NA","Capitonidae","Piciformes","Lybius bidentatus NA",11531,"Lybiidae","PICIFORMES"
"3114","Lanius excubitor lahtora","Laniidae","Passeriformes","Lanius excubitor lahtora",22376,"Laniidae","PASSERIFORMES"
"3115","Lanius excubitor invictus","Laniidae","Passeriformes","Lanius borealis borealis",22403,"Laniidae","PASSERIFORMES"
"3116","Lanius excubitoroides excubitoroides","Laniidae","Passeriformes","Lanius excubitoroides excubitoroides",22358,"Laniidae","PASSERIFORMES"
"3117","Laniarius barbarus barbarus","Laniidae","Passeriformes","Laniarius barbarus barbarus",20160,"Malaconotidae","PASSERIFORMES"
"3118","Lanius vittatus vittatus","Laniidae","Passeriformes","Lanius vittatus vittatus",22437,"Laniidae","PASSERIFORMES"
"3119","Lanius senator senator","Laniidae","Passeriformes","Lanius senator senator",22427,"Laniidae","PASSERIFORMES"
"3120","Pelecanus occidentalis NA","Pelecanidae","Pelecaniformes","Pelecanus occidentalis NA",8076,"Pelecanidae","PELECANIFORMES"
"3121","Lanius ludovicianus migrans","Laniidae","Passeriformes","Lanius ludovicianus migrans",22383,"Laniidae","PASSERIFORMES"
"3122","Lanius excubitor algeriensis","Laniidae","Passeriformes","Lanius excubitor algeriensis",22367,"Laniidae","PASSERIFORMES"
"3123","Lanius collurio kobylini","Laniidae","Passeriformes","Lanius collurio NA",22446,"Laniidae","PASSERIFORMES"
"3124","Dryoscopus cubla NA","Laniidae","Passeriformes","Dryoscopus cubla NA",20093,"Malaconotidae","PASSERIFORMES"
"3125","Phalacrocorax auritus NA","Phalacrocoracidae","Pelecaniformes","Nannopterum auritum NA",7750,"Phalacrocoracidae","SULIFORMES"
"3126","Phalacrocorax auritus albociliatus","Phalacrocoracidae","Pelecaniformes","Nannopterum auritum albociliatum",7752,"Phalacrocoracidae","SULIFORMES"
"3127","Fulmarus glacialis rodgersii","Procellariidae","Procellariiformes","Fulmarus glacialis rodgersii",7432,"Procellariidae","PROCELLARIIFORMES"
"3128","Picus awokera NA","Picidae","Piciformes","Picus awokera NA",12598,"Picidae","PICIFORMES"
"3129","Furnarius rufus NA","Furnariidae","Passeriformes","Furnarius rufus NA",14925,"Furnariidae","PASSERIFORMES"
"3130","Prionops plumata concinnata","Laniidae","Passeriformes","Prionops plumatus concinnatus",20232,"Vangidae","PASSERIFORMES"
"3131","Laniarius ferrugineus sublacteus","Laniidae","Passeriformes","Laniarius sublacteus NA",20142,"Malaconotidae","PASSERIFORMES"
"3132","Actophilornis africana NA","Jacanidae","Charadriiformes","Actophilornis africanus NA",6609,"Jacanidae","CHARADRIIFORMES"
"3133","Lanius minor turanicus","Laniidae","Passeriformes","Lanius minor NA",22425,"Laniidae","PASSERIFORMES"
"3134","Laniarius ferrugineus natalensis","Laniidae","Passeriformes","Laniarius ferrugineus natalensis",20148,"Malaconotidae","PASSERIFORMES"
"3135","Laniarius ferrugineus mossambicus","Laniidae","Passeriformes","Laniarius major mossambicus",20141,"Malaconotidae","PASSERIFORMES"
"3136","Lanius schach tricolor","Laniidae","Passeriformes","Lanius schach tricolor",22465,"Laniidae","PASSERIFORMES"
"3137","Lanius schach erythronotus","Laniidae","Passeriformes","Lanius schach erythronotus",22463,"Laniidae","PASSERIFORMES"
"3138","Lanius collurio phoenicuroides","Laniidae","Passeriformes","Lanius phoenicuroides NA",22447,"Laniidae","PASSERIFORMES"
"3139","Prionops retzii tricolor","Laniidae","Passeriformes","Prionops retzii tricolor",20249,"Vangidae","PASSERIFORMES"
"3140","Lanius minor minor","Laniidae","Passeriformes","Lanius minor NA",22424,"Laniidae","PASSERIFORMES"
"3141","Wilsonia pusilla chryseola","Parulidae","Passeriformes","Cardellina pusilla chryseola",36124,"Parulidae","PASSERIFORMES"
"3142","Falco peregrinus NA","Falconidae","Falconiformes","Falco peregrinus NA",12941,"Falconidae","FALCONIFORMES"
"3143","Gavia immer NA","Gaviidae","Gaviiformes","Gavia immer NA",7288,"Gaviidae","GAVIIFORMES"
"3144","Melanerpes formicivorus bairdi","Picidae","Piciformes","Melanerpes formicivorus bairdi",11758,"Picidae","PICIFORMES"
"3145","Anas cyanoptera septentrionalium","Anatidae","Anseriformes","Spatula cyanoptera septentrionalium",380,"Anatidae","ANSERIFORMES"
"3146","Somateria spectabilis NA","Anatidae","Anseriformes","Somateria spectabilis NA",500,"Anatidae","ANSERIFORMES"
"3147","Fulica americana NA","Rallidae","Gruiformes","Fulica americana NA",5926,"Rallidae","GRUIFORMES"
"3148","Trachyphonus erythrocephalus erythrocephalus","Capitonidae","Piciformes","Trachyphonus erythrocephalus erythrocephalus",11554,"Lybiidae","PICIFORMES"
"3149","Carduelis carduelis NA","Fringillidae","Passeriformes","Carduelis carduelis NA",34349,"Fringillidae","PASSERIFORMES"
"3150","Carduelis carduelis carduelis","Fringillidae","Passeriformes","Carduelis carduelis carduelis",34351,"Fringillidae","PASSERIFORMES"
"3151","Carduelis magellanica alleni","Fringillidae","Passeriformes","Spinus magellanicus alleni",34426,"Fringillidae","PASSERIFORMES"
"3152","Carduelis magellanica icterica","Fringillidae","Passeriformes","Spinus magellanicus ictericus",34427,"Fringillidae","PASSERIFORMES"
"3153","Phasianus colchicus NA","Phasianidae","Galliformes","Phasianus colchicus NA",1310,"Phasianidae","GALLIFORMES"
"3154","Pachyptila desolata NA","Procellariidae","Procellariiformes","Pachyptila desolata NA",7448,"Procellariidae","PROCELLARIIFORMES"
"3155","Apus pallidus brehmorum","Apodidae","Apodiformes","Apus pallidus brehmorum",2605,"Apodidae","APODIFORMES"
"3156","Empidonax wrightii NA","Tyrannidae","Passeriformes","Empidonax wrightii NA",17653,"Tyrannidae","PASSERIFORMES"
"3157","Lybius leucocephalus senex","Capitonidae","Piciformes","Lybius leucocephalus senex",11502,"Lybiidae","PICIFORMES"
"3158","Urocissa erythrorhyncha occipitalis","Corvidae","Passeriformes","Urocissa erythroryncha occipitalis",22719,"Corvidae","PASSERIFORMES"
"3159","Capito niger auratus","Capitonidae","Piciformes","Capito auratus auratus",11086,"Capitonidae","PICIFORMES"
"3160","Phibalura flavirostris NA","Cotingidae","Passeriformes","Phibalura flavirostris NA",18185,"Cotingidae","PASSERIFORMES"
"3161","Carpornis cucullatus NA","Cotingidae","Passeriformes","Carpornis cucullata NA",18169,"Cotingidae","PASSERIFORMES"
"3162","Cotinga maculata NA","Cotingidae","Passeriformes","Cotinga maculata NA",18231,"Cotingidae","PASSERIFORMES"
"3163","Lesbia nuna gouldii","Trochilidae","Apodiformes","Lesbia nuna gouldii",2976,"Trochilidae","APODIFORMES"
"3164","Selasphorus simoni NA","Trochilidae","Apodiformes","Selasphorus flammula simoni",3330,"Trochilidae","APODIFORMES"
"3165","Selasphorus torridus NA","Trochilidae","Apodiformes","Selasphorus flammula torridus",3332,"Trochilidae","APODIFORMES"
"3166","Selasphorus flammula NA","Trochilidae","Apodiformes","Selasphorus flammula NA",3327,"Trochilidae","APODIFORMES"
"3167","Calliphlox amethystina NA","Trochilidae","Apodiformes","Calliphlox amethystina NA",3264,"Trochilidae","APODIFORMES"
"3168","Branta sandvicensis NA","Anatidae","Anseriformes","Branta sandvicensis NA",249,"Anatidae","ANSERIFORMES"
"3169","Lanius cristatus NA","Laniidae","Passeriformes","Lanius cristatus NA",22454,"Laniidae","PASSERIFORMES"
"3170","Ispidina picta picta","Alcedinidae","Coraciiformes","Ispidina picta picta",10551,"Alcedinidae","CORACIIFORMES"
"3171","Pterocles decoratus loveridgei","Pteroclididae","Columbiformes","Pterocles decoratus loveridgei",4393,"Pteroclidae","PTEROCLIFORMES"
"3172","Pyrrhula pyrrhula europoea","Fringillidae","Passeriformes","Pyrrhula pyrrhula europoea",33904,"Fringillidae","PASSERIFORMES"
"3173","Sturnus sinensis NA","Sturnidae","Passeriformes","Sturnia sinensis NA",29681,"Sturnidae","PASSERIFORMES"
"3174","Rhodospingus cruentus NA","Emberizidae","Passeriformes","Rhodospingus cruentus NA",36793,"Thraupidae","PASSERIFORMES"
"3175","Crax alberti NA","Cracidae","Galliformes","Crax alberti NA",747,"Cracidae","GALLIFORMES"
"3176","Rostratula benghalensis benghalensis","Rostratulidae","Charadriiformes","Rostratula benghalensis NA",6604,"Rostratulidae","CHARADRIIFORMES"
"3177","Mycteria americana NA","Ciconiidae","Ciconiiformes","Mycteria americana NA",7625,"Ciconiidae","CICONIIFORMES"
"3178","Halcyon cinnamomina cinnamomina","Alcedinidae","Coraciiformes","Todiramphus cinnamominus NA",10489,"Alcedinidae","CORACIIFORMES"
"3179","Tiaris canora NA","Emberizidae","Passeriformes","Phonipara canora NA",36664,"Thraupidae","PASSERIFORMES"
"3180","Pteronetta hartlaubii NA","Anatidae","Anseriformes","Pteronetta hartlaubii NA",352,"Anatidae","ANSERIFORMES"
"3181","Geothlypis trichas NA","Parulidae","Passeriformes","Geothlypis trichas NA",35851,"Parulidae","PASSERIFORMES"
"3182","Plegadis falcinellus NA","Threskiornithidae","Ciconiiformes","Plegadis falcinellus NA",7840,"Threskiornithidae","PELECANIFORMES"
"3183","Trugon terrestris terrestris","Columbidae","Columbiformes","Trugon terrestris terrestris",4839,"Columbidae","COLUMBIFORMES"
"3184","Turdus iliacus NA","Muscicapidae","Passeriformes","Turdus iliacus NA",30225,"Turdidae","PASSERIFORMES"
"3185","Strix aluco aluco","Strigidae","Strigiformes","Strix aluco aluco",9692,"Strigidae","STRIGIFORMES"
"3186","Coua cristata cristata","Cuculidae","Cuculiformes","Coua cristata cristata",4008,"Cuculidae","CUCULIFORMES"
"3187","Carpodacus purpureus NA","Fringillidae","Passeriformes","Haemorhous purpureus NA",34103,"Fringillidae","PASSERIFORMES"
"3188","Streptoprocne zonaris NA","Apodidae","Apodiformes","Streptoprocne zonaris NA",2279,"Apodidae","APODIFORMES"
"3189","Tragopan temminckii NA","Phasianidae","Galliformes","Tragopan temminckii NA",1076,"Phasianidae","GALLIFORMES"
"3190","Limosa fedoa NA","Scolopacidae","Charadriiformes","Limosa fedoa NA",6680,"Scolopacidae","CHARADRIIFORMES"
"3191","Numenius phaeopus hudsonicus","Scolopacidae","Charadriiformes","Numenius phaeopus hudsonicus",6655,"Scolopacidae","CHARADRIIFORMES"
"3192","Buteo buteo NA","Accipitridae","Falconiformes","Buteo buteo NA",8814,"Accipitridae","ACCIPITRIFORMES"
"3193","Erithacus rubecula NA","Muscicapidae","Passeriformes","Erithacus rubecula NA",30951,"Muscicapidae","PASSERIFORMES"
"3194","Alectoris melanocephala NA","Phasianidae","Galliformes","Alectoris melanocephala NA",1655,"Phasianidae","GALLIFORMES"
"3195","Tyto alba NA","Tytonidae","Strigiformes","Tyto alba NA",8863,"Tytonidae","STRIGIFORMES"
"3196","Tachycineta bicolor NA","Hirundinidae","Passeriformes","Tachycineta bicolor NA",24916,"Hirundinidae","PASSERIFORMES"
"3197","Bubo bubo bubo","Strigidae","Strigiformes","Bubo bubo bubo",9468,"Strigidae","STRIGIFORMES"
"3198","Eremophila alpestris actia","Alaudidae","Passeriformes","Eremophila alpestris actia",24189,"Alaudidae","PASSERIFORMES"
"3199","Fringilla montifringilla NA","Fringillidae","Passeriformes","Fringilla montifringilla NA",33840,"Fringillidae","PASSERIFORMES"
"3200","Xanthocephalus xanthocephalus NA","Icteridae","Passeriformes","Xanthocephalus xanthocephalus NA",35417,"Icteridae","PASSERIFORMES"
"3201","Aix galericulata NA","Anatidae","Anseriformes","Aix galericulata NA",354,"Anatidae","ANSERIFORMES"
"3202","Carduelis magellanica magellanica","Fringillidae","Passeriformes","Spinus magellanicus magellanicus",34428,"Fringillidae","PASSERIFORMES"
"3203","Geothlypis trichas occidentalis","Parulidae","Passeriformes","Geothlypis trichas occidentalis",35858,"Parulidae","PASSERIFORMES"
"3204","Catharus guttatus polionotus","Muscicapidae","Passeriformes","Catharus guttatus polionotus",30006,"Turdidae","PASSERIFORMES"
"3205","Falco columbarius columbarius","Falconidae","Falconiformes","Falco columbarius columbarius",12893,"Falconidae","FALCONIFORMES"
"3206","Fulica americana americana","Rallidae","Gruiformes","Fulica americana americana",5927,"Rallidae","GRUIFORMES"
"3207","Uria aalge NA","Alcidae","Charadriiformes","Uria aalge NA",7208,"Alcidae","CHARADRIIFORMES"
"3208","Larus heermanni NA","Laridae","Charadriiformes","Larus heermanni NA",6992,"Laridae","CHARADRIIFORMES"
"3209","Larus philadelphia NA","Laridae","Charadriiformes","Chroicocephalus philadelphia NA",6950,"Laridae","CHARADRIIFORMES"
"3210","Mimus polyglottos leucopterus","Mimidae","Passeriformes","Mimus polyglottos leucopterus",29395,"Mimidae","PASSERIFORMES"
"3211","Tringa melanoleuca NA","Scolopacidae","Charadriiformes","Tringa melanoleuca NA",6836,"Scolopacidae","CHARADRIIFORMES"
"3212","Athene brama indica","Strigidae","Strigiformes","Athene brama indica",9098,"Strigidae","STRIGIFORMES"
"3213","Ninox scutulata lugubris","Strigidae","Strigiformes","Ninox scutulata lugubris",8980,"Strigidae","STRIGIFORMES"
"3214","Ninox novaeseelandiae boobook","Strigidae","Strigiformes","Ninox boobook boobook",8961,"Strigidae","STRIGIFORMES"
"3215","Ninox rufa rufa","Strigidae","Strigiformes","Ninox rufa rufa",8938,"Strigidae","STRIGIFORMES"
"3216","Ninox theomacha theomacha","Strigidae","Strigiformes","Ninox theomacha theomacha",9030,"Strigidae","STRIGIFORMES"
"3217","Aegolius acadicus NA","Strigidae","Strigiformes","Aegolius acadicus NA",9062,"Strigidae","STRIGIFORMES"
"3218","Aegolius acadicus acadicus","Strigidae","Strigiformes","Aegolius acadicus acadicus",9063,"Strigidae","STRIGIFORMES"
"3219","Macropygia phasianella tenuirostris","Columbidae","Columbiformes","Macropygia tenuirostris tenuirostris",4731,"Columbidae","COLUMBIFORMES"
"3220","Sialia mexicana mexicana","Muscicapidae","Passeriformes","Sialia mexicana mexicana",29853,"Turdidae","PASSERIFORMES"
"3221","Aegolius funereus richardsoni","Strigidae","Strigiformes","Aegolius funereus richardsoni",9054,"Strigidae","STRIGIFORMES"
"3222","Aegolius funereus NA","Strigidae","Strigiformes","Aegolius funereus NA",9053,"Strigidae","STRIGIFORMES"
"3223","Fulmarus glacialis glacialis","Procellariidae","Procellariiformes","Fulmarus glacialis glacialis",7429,"Procellariidae","PROCELLARIIFORMES"
"3224","Leptoptilos javanicus NA","Ciconiidae","Ciconiiformes","Leptoptilos javanicus NA",7623,"Ciconiidae","CICONIIFORMES"
"3225","Tyto alba contempta","Tytonidae","Strigiformes","Tyto alba contempta",8884,"Tytonidae","STRIGIFORMES"
"3226","Tyto alba affinis","Tytonidae","Strigiformes","Tyto alba poensis",8871,"Tytonidae","STRIGIFORMES"
"3227","Tyto alba guttata","Tytonidae","Strigiformes","Tyto alba guttata",8865,"Tytonidae","STRIGIFORMES"
"3228","Phodilus badius badius","Tytonidae","Strigiformes","Phodilus badius badius",8925,"Tytonidae","STRIGIFORMES"
"3229","Struthio camelus NA","Struthionidae","Struthioniformes","Struthio camelus NA",1,"Struthionidae","STRUTHIONIFORMES"
"3230","Rhynchotus rufescens rufescens","Tinamidae","Tinamiformes","Rhynchotus rufescens rufescens",155,"Tinamidae","TINAMIFORMES"
"3231","Tinamus major saturatus","Tinamidae","Tinamiformes","Tinamus major saturatus",56,"Tinamidae","TINAMIFORMES"
"3232","Tinamus major latifrons","Tinamidae","Tinamiformes","Tinamus major latifrons",58,"Tinamidae","TINAMIFORMES"
"3233","Tinamus major fuscipennis","Tinamidae","Tinamiformes","Tinamus major fuscipennis",53,"Tinamidae","TINAMIFORMES"
"3234","Tinamus solitarius solitarius","Tinamidae","Tinamiformes","Tinamus solitarius NA",45,"Tinamidae","TINAMIFORMES"
"3235","Tinamus solitarius pernambucensis","Tinamidae","Tinamiformes","Tinamus solitarius NA",46,"Tinamidae","TINAMIFORMES"
"3236","Nothura maculosa maculosa","Tinamidae","Tinamiformes","Nothura maculosa maculosa",196,"Tinamidae","TINAMIFORMES"
"3237","Larus californicus NA","Laridae","Charadriiformes","Larus californicus NA",7000,"Laridae","CHARADRIIFORMES"
"3238","Dacelo novaeguineae NA","Alcedinidae","Coraciiformes","Dacelo novaeguineae NA",10314,"Alcedinidae","CORACIIFORMES"
"3239","Podiceps nigricollis californicus","Podicipedidae","Podicipediformes","Podiceps nigricollis californicus",6243,"Podicipedidae","PODICIPEDIFORMES"
"3240","Nothura maculosa NA","Tinamidae","Tinamiformes","Nothura maculosa NA",192,"Tinamidae","TINAMIFORMES"
"3241","Nothoprocta ornata NA","Tinamidae","Tinamiformes","Nothoprocta ornata NA",159,"Tinamidae","TINAMIFORMES"
"3242","Eudromia elegans NA","Tinamidae","Tinamiformes","Eudromia elegans NA",204,"Tinamidae","TINAMIFORMES"
"3243","Crypturellus cinnamomeus praepes","Tinamidae","Tinamiformes","Crypturellus cinnamomeus praepes",137,"Tinamidae","TINAMIFORMES"
"3244","Crypturellus cinnamomeus sallaei","Tinamidae","Tinamiformes","Crypturellus cinnamomeus sallaei",133,"Tinamidae","TINAMIFORMES"
"3245","Crypturellus soui NA","Tinamidae","Tinamiformes","Crypturellus soui NA",76,"Tinamidae","TINAMIFORMES"
"3246","Crypturellus tataupa NA","Tinamidae","Tinamiformes","Crypturellus tataupa NA",147,"Tinamidae","TINAMIFORMES"
"3247","Crypturellus tataupa tataupa","Tinamidae","Tinamiformes","Crypturellus tataupa tataupa",151,"Tinamidae","TINAMIFORMES"
"3248","Crypturellus undulatus adspersus","Tinamidae","Tinamiformes","Crypturellus undulatus adspersus",107,"Tinamidae","TINAMIFORMES"
"3249","Crypturellus undulatus simplex","Tinamidae","Tinamiformes","Crypturellus undulatus simplex",105,"Tinamidae","TINAMIFORMES"
"3250","Crypturellus undulatus vermiculatus","Tinamidae","Tinamiformes","Crypturellus undulatus vermiculatus",108,"Tinamidae","TINAMIFORMES"
"3251","Trogon aurantiiventris NA","Trogonidae","Trogoniformes","Trogon collaris aurantiiventris",9907,"Trogonidae","TROGONIFORMES"
"3252","Trogon citreolus citreolus","Trogonidae","Trogoniformes","Trogon citreolus citreolus",9856,"Trogonidae","TROGONIFORMES"
"3253","Trogon citreolus sumichrasti","Trogonidae","Trogoniformes","Trogon citreolus sumichrasti",9857,"Trogonidae","TROGONIFORMES"
"3254","Trogon citreolus NA","Trogonidae","Trogoniformes","Trogon citreolus NA",9855,"Trogonidae","TROGONIFORMES"
"3255","Trogon citreolus illaetabilis","Trogonidae","Trogoniformes","Trogon melanocephalus illaetabilis",9854,"Trogonidae","TROGONIFORMES"
"3256","Trogon collaris collaris","Trogonidae","Trogoniformes","Trogon collaris collaris",9915,"Trogonidae","TROGONIFORMES"
"3257","Trogon collaris puella","Trogonidae","Trogoniformes","Trogon collaris puella",9905,"Trogonidae","TROGONIFORMES"
"3258","Trogon collaris virginalis","Trogonidae","Trogoniformes","Trogon collaris virginalis",9912,"Trogonidae","TROGONIFORMES"
"3259","Trogon elegans elegans","Trogonidae","Trogoniformes","Trogon elegans elegans",9897,"Trogonidae","TROGONIFORMES"
"3260","Trogon elegans goldmani","Trogonidae","Trogoniformes","Trogon elegans goldmani",9899,"Trogonidae","TROGONIFORMES"
"3261","Trogon elegans canescens","Trogonidae","Trogoniformes","Trogon elegans canescens",9894,"Trogonidae","TROGONIFORMES"
"3262","Trogon elegans ambiguus","Trogonidae","Trogoniformes","Trogon elegans ambiguus",9896,"Trogonidae","TROGONIFORMES"
"3263","Trogon elegans lubricus","Trogonidae","Trogoniformes","Trogon elegans lubricus",9898,"Trogonidae","TROGONIFORMES"
"3264","Trogon massena australis","Trogonidae","Trogoniformes","Trogon massena australis",9843,"Trogonidae","TROGONIFORMES"
"3265","Trogon massena hoffmanni","Trogonidae","Trogoniformes","Trogon massena hoffmanni",9842,"Trogonidae","TROGONIFORMES"
"3266","Trogon melanurus melanurus","Trogonidae","Trogoniformes","Trogon melanurus melanurus",9851,"Trogonidae","TROGONIFORMES"
"3267","Trogon mexicanus mexicanus","Trogonidae","Trogoniformes","Trogon mexicanus mexicanus",9902,"Trogonidae","TROGONIFORMES"
"3268","Trogon mexicanus clarus","Trogonidae","Trogoniformes","Trogon mexicanus clarus",9901,"Trogonidae","TROGONIFORMES"
"3269","Trogon rufus amazonicus","Trogonidae","Trogoniformes","Trogon rufus amazonicus",9889,"Trogonidae","TROGONIFORMES"
"3270","Trogon rufus chrysochloros","Trogonidae","Trogoniformes","Trogon rufus chrysochloros",9891,"Trogonidae","TROGONIFORMES"
"3271","Trogon rufus cupreicauda","Trogonidae","Trogoniformes","Trogon rufus cupreicauda",9886,"Trogonidae","TROGONIFORMES"
"3272","Trogon rufus rufus","Trogonidae","Trogoniformes","Trogon rufus rufus",9887,"Trogonidae","TROGONIFORMES"
"3273","Trogon rufus tenellus","Trogonidae","Trogoniformes","Trogon rufus tenellus",9884,"Trogonidae","TROGONIFORMES"
"3274","Trogon curucui bolivianus","Trogonidae","Trogoniformes","Trogon curucui peruvianus",9875,"Trogonidae","TROGONIFORMES"
"3275","Trogon curucui curucui","Trogonidae","Trogoniformes","Trogon curucui curucui",9876,"Trogonidae","TROGONIFORMES"
"3276","Trogon personatus assimilis","Trogonidae","Trogoniformes","Trogon personatus assimilis",9923,"Trogonidae","TROGONIFORMES"
"3277","Trogon personatus personatus","Trogonidae","Trogoniformes","Trogon personatus personatus",9922,"Trogonidae","TROGONIFORMES"
"3278","Trogon surrucura surrucura","Trogonidae","Trogoniformes","Trogon surrucura surrucura",9881,"Trogonidae","TROGONIFORMES"
"3279","Trogon surrucura aurantius","Trogonidae","Trogoniformes","Trogon surrucura aurantius",9880,"Trogonidae","TROGONIFORMES"
"3280","Trogon violaceus NA","Trogonidae","Trogoniformes","Trogon violaceus NA",9872,"Trogonidae","TROGONIFORMES"
"3281","Trogon violaceus ramonianus","Trogonidae","Trogoniformes","Trogon ramonianus ramonianus",9870,"Trogonidae","TROGONIFORMES"
"3282","Trogon violaceus crissalis","Trogonidae","Trogoniformes","Trogon ramonianus crissalis",9871,"Trogonidae","TROGONIFORMES"
"3283","Trogon violaceus concinnus","Trogonidae","Trogoniformes","Trogon caligatus concinnus",9867,"Trogonidae","TROGONIFORMES"
"3284","Trogon violaceus braccatus","Trogonidae","Trogoniformes","Trogon caligatus sallaei",9866,"Trogonidae","TROGONIFORMES"
"3285","Trogon violaceus caligatus","Trogonidae","Trogoniformes","Trogon caligatus caligatus",9868,"Trogonidae","TROGONIFORMES"
"3286","Harpactes reinwardtii mackloti","Trogonidae","Trogoniformes","Harpactes mackloti NA",9940,"Trogonidae","TROGONIFORMES"
"3287","Heterotrogon vittatus vittatus","Trogonidae","Trogoniformes","Apaloderma vittatum vittatum",9936,"Trogonidae","TROGONIFORMES"
"3288","Pharomachrus mocino costaricensis","Trogonidae","Trogoniformes","Pharomachrus mocinno costaricensis",9832,"Trogonidae","TROGONIFORMES"
"3289","Pharomachrus mocino NA","Trogonidae","Trogoniformes","Pharomachrus mocinno NA",9829,"Trogonidae","TROGONIFORMES"
"3290","Pharomachrus mocino antisianus","Trogonidae","Trogoniformes","Pharomachrus antisianus NA",9833,"Trogonidae","TROGONIFORMES"
"3291","Pharomachrus pavoninus auriceps","Trogonidae","Trogoniformes","Pharomachrus auriceps auriceps",9823,"Trogonidae","TROGONIFORMES"
"3292","Pharomachrus pavoninus NA","Trogonidae","Trogoniformes","Pharomachrus pavoninus NA",9819,"Trogonidae","TROGONIFORMES"
