"","sciname","subspecies","genus","species","family","order"
"344","Myrmeciza atrothorax","atrothorax","Myrmeciza","atrothorax","Formicariidae","Passeriformes"
"345","Myrmeciza exsul","occidentalis","Myrmeciza","exsul","Formicariidae","Passeriformes"
"346","Myrmeciza ferruginea","eluta","Myrmeciza","ferruginea","Formicariidae","Passeriformes"
"347","Myrmeciza hemimelaena","pallens","Myrmeciza","hemimelaena","Formicariidae","Passeriformes"
"348","Myrmeciza immaculata","berlepschi","Myrmeciza","immaculata","Formicariidae","Passeriformes"
"349","Myrmeciza longipes","boucardi","Myrmeciza","longipes","Formicariidae","Passeriformes"
"350","Myrmeciza ruficauda","ruficauda","Myrmeciza","ruficauda","Formicariidae","Passeriformes"
"351","Myrmotherula axillaris","albigula","Myrmotherula","axillaris","Formicariidae","Passeriformes"
"352","Myrmotherula brachyura","ignota","Myrmotherula","brachyura","Formicariidae","Passeriformes"
"353","Myrmotherula fulviventris","fulviventris","Myrmotherula","fulviventris","Formicariidae","Passeriformes"
"354","Myrmotherula hauxwelli","clarior","Myrmotherula","hauxwelli","Formicariidae","Passeriformes"
"355","Myrmotherula leucophthalma","phaenota","Myrmotherula","leucophthalma","Formicariidae","Passeriformes"
"356","Myrmotherula longipennis","longipennis","Myrmotherula","longipennis","Formicariidae","Passeriformes"
"357","Myrmotherula menetriesii","pallida","Myrmotherula","menetriesii","Formicariidae","Passeriformes"
"358","Myrmotherula ornata","hoffmannsi","Myrmotherula","ornata","Formicariidae","Passeriformes"
"359","Myrmotherula schisticolor","schisticolor","Myrmotherula","schisticolor","Formicariidae","Passeriformes"
"360","Myrmotherula surinamensis","multistriatus","Myrmotherula","surinamensis","Formicariidae","Passeriformes"
"361","Thamnistes anabatinus","anabatinus","Thamnistes","anabatinus","Formicariidae","Passeriformes"
"362","Thamnomanes ardesiacus","ssp","Thamnomanes","ardesiacus","Formicariidae","Passeriformes"
"363","Thamnomanes caesius","hoffmannsi","Thamnomanes","caesius","Formicariidae","Passeriformes"
"364","Thamnomanes plumbeus","plumbeus","Thamnomanes","plumbeus","Formicariidae","Passeriformes"
"365","Thamnomanes saturninus","saturninus","Thamnomanes","saturninus","Formicariidae","Passeriformes"
"366","Thamnophilus aethiops","atriceps","Thamnophilus","aethiops","Formicariidae","Passeriformes"
"367","Thamnophilus amazonicus","obscurus","Thamnophilus","amazonicus","Formicariidae","Passeriformes"
"368","Thamnophilus caerulescens","gilvigaster","Thamnophilus","caerulescens","Formicariidae","Passeriformes"
"369","Thamnophilus doliatus","albicans","Thamnophilus","doliatus","Formicariidae","Passeriformes"
"370","Thamnophilus multistriatus","multistriatus","Thamnophilus","multistriatus","Formicariidae","Passeriformes"
"371","Thamnophilus murinus","murinus","Thamnophilus","murinus","Formicariidae","Passeriformes"
"372","Thamnophilus nigriceps","magdalenae","Thamnophilus","nigriceps","Formicariidae","Passeriformes"
"373","Thamnophilus palliatus","palliatus","Thamnophilus","palliatus","Formicariidae","Passeriformes"
"374","Thamnophilus punctatus","ambiguus","Thamnophilus","punctatus","Formicariidae","Passeriformes"
"375","Thamnophilus ruficapillus","ruficapillus","Thamnophilus","ruficapillus","Formicariidae","Passeriformes"
"376","Thamnophilus schistaceus","capitalis","Thamnophilus","schistaceus","Formicariidae","Passeriformes"
"377","Thamnophilus tenuepunctatus","tenuifasciatus","Thamnophilus","tenuepunctatus","Formicariidae","Passeriformes"
"378","Thamnophilus unicolor","grandior","Thamnophilus","unicolor","Formicariidae","Passeriformes"
"379","Sclateria naevia","naevia","Sclateria","naevia","Formicariidae","Passeriformes"
"380","Formicivora grisea","fumosa","Formicivora","grisea","Formicariidae","Passeriformes"
"381","Formicivora melanogaster","bahiae","Formicivora","melanogaster","Formicariidae","Passeriformes"
"382","Formicivora rufa","chapmani","Formicivora","rufa","Formicariidae","Passeriformes"
"383","Percnostola leucostigma","leucostigma","Percnostola","leucostigma","Formicariidae","Passeriformes"
"384","Percnostola rufifrons","rufifrons","Percnostola","rufifrons","Formicariidae","Passeriformes"
"385","Microrhopias quixensis","bicolor","Microrhopias","quixensis","Formicariidae","Passeriformes"
"386","Batara cinerea","cinerea","Batara","cinerea","Formicariidae","Passeriformes"
"387","Coccothraustes vespertinus","brooksi","Coccothraustes","vespertinus","Fringillidae","Passeriformes"
"388","Coccothraustes coccothraustes","coccothraustes","Coccothraustes","coccothraustes","Fringillidae","Passeriformes"
"389","Quiscalus mexicanus","peruvianus","Quiscalus","mexicanus","Icteridae","Passeriformes"
"390","Quiscalus quiscula","quiscula","Quiscalus","quiscula","Icteridae","Passeriformes"
"391","Quiscalus lugubris","guadeloupensis","Quiscalus","lugubris","Icteridae","Passeriformes"
"392","Quiscalus major","major","Quiscalus","major","Icteridae","Passeriformes"
"393","Psarocolius decumanus","decumanus","Psarocolius","decumanus","Icteridae","Passeriformes"
"394","Psarocolius wagleri","ssp","Psarocolius","wagleri","Icteridae","Passeriformes"
"395","Psarocolius angustifrons","salmoni","Psarocolius","angustifrons","Icteridae","Passeriformes"
"396","Molothrus badius","bolivianus","Molothrus","badius","Icteridae","Passeriformes"
"397","Molothrus aeneus","aeneus","Molothrus","aeneus","Icteridae","Passeriformes"
"398","Molothrus ater","artemisiae","Molothrus","ater","Icteridae","Passeriformes"
"399","Aethia pusilla",NA,"Aethia","pusilla","Alcidae","Charadriiformes"
"400","Butorides virescens","ssp","Butorides","virescens","Ardeidae","Ciconiiformes"
"401","Tauraco corythaix","persa","Tauraco","corythaix","Musophagidae","Cuculiformes"
"402","Zonotrichia capensis","subtorquata","Zonotrichia","capensis","Emberizidae","Passeriformes"
"403","Podargus strigoides","strigoides","Podargus","strigoides","Podargidae","Caprimulgiformes"
"404","Loxia curvirostra","benti","Loxia","curvirostra","Fringillidae","Passeriformes"
"405","Polioptila albiloris","restricta","Polioptila","albiloris","Muscicapidae","Passeriformes"
"406","Terathopius ecaudatus",NA,"Terathopius","ecaudatus","Accipitridae","Falconiformes"
"407","Buteo regalis",NA,"Buteo","regalis","Accipitridae","Falconiformes"
"408","Loxia leucoptera","leucoptera","Loxia","leucoptera","Fringillidae","Passeriformes"
"409","Linurgus olivaceus","prigoginei","Linurgus","olivaceus","Fringillidae","Passeriformes"
"410","Fringilla coelebs","coelebs","Fringilla","coelebs","Fringillidae","Passeriformes"
"411","Coccothraustes personatus","personatus","Coccothraustes","personatus","Fringillidae","Passeriformes"
"412","Plectrophenax nivalis","nivalis","Plectrophenax","nivalis","Emberizidae","Passeriformes"
"413","Tachyphonus luctuosus","luctuosus","Tachyphonus","luctuosus","Emberizidae","Passeriformes"
"414","Tachyphonus surinamus","insignis","Tachyphonus","surinamus","Emberizidae","Passeriformes"
"415","Chondestes grammacus","ssp","Chondestes","grammacus","Emberizidae","Passeriformes"
"416","Phoeniconaias minor",NA,"Phoeniconaias","minor","Phoenicopteridae","Ciconiiformes"
"417","Chlorothraupis carmioli","carmioli","Chlorothraupis","carmioli","Emberizidae","Passeriformes"
"418","Chlorothraupis stolzmanni","dugandi","Chlorothraupis","stolzmanni","Emberizidae","Passeriformes"
"419","Chlorospingus canigularis","conspicillatus","Chlorospingus","canigularis","Emberizidae","Passeriformes"
"420","Chlorospingus flavigularis","flavigularis","Chlorospingus","flavigularis","Emberizidae","Passeriformes"
"421","Chlorospingus ophthalmicus","honduratius","Chlorospingus","ophthalmicus","Emberizidae","Passeriformes"
"422","Chlorospingus pileatus","pileatus","Chlorospingus","pileatus","Emberizidae","Passeriformes"
"423","Chlorospingus semifuscus","semifuscus","Chlorospingus","semifuscus","Emberizidae","Passeriformes"
"424","Chlorornis riefferii","riefferii","Chlorornis","riefferii","Emberizidae","Passeriformes"
"425","Chlorophonia cyanea","cyanea","Chlorophonia","cyanea","Emberizidae","Passeriformes"
"426","Chlorophonia occipitalis","callophrys","Chlorophonia","occipitalis","Emberizidae","Passeriformes"
"427","Chlorophanes spiza","spiza","Chlorophanes","spiza","Emberizidae","Passeriformes"
"428","Certhidea olivacea","cinerascens","Certhidea","olivacea","Emberizidae","Passeriformes"
"429","Catamenia analis","schistaceifrons","Catamenia","analis","Emberizidae","Passeriformes"
"430","Catamenia inornata","minor","Catamenia","inornata","Emberizidae","Passeriformes"
"431","Nectarinia reichenowi","lathburyi","Nectarinia","reichenowi","Nectariniidae","Passeriformes"
"432","Nectarinia rubescens","rubescens","Nectarinia","rubescens","Nectariniidae","Passeriformes"
"433","Nectarinia seimundi","traylori","Nectarinia","seimundi","Nectariniidae","Passeriformes"
"434","Nectarinia senegalensis","gutturalis","Nectarinia","senegalensis","Nectariniidae","Passeriformes"
"435","Nectarinia sericea","corinna","Nectarinia","sericea","Nectariniidae","Passeriformes"
"436","Nectarinia sericeus","corinna","Nectarinia","sericeus","Nectariniidae","Passeriformes"
"437","Nectarinia shelleyi","hofmanni","Nectarinia","shelleyi","Nectariniidae","Passeriformes"
"438","Nectarinia souimanga","souimanga","Nectarinia","souimanga","Nectariniidae","Passeriformes"
"439","Nectarinia sperata","sperata","Nectarinia","sperata","Nectariniidae","Passeriformes"
"440","Nectarinia superba","buvuma","Nectarinia","superba","Nectariniidae","Passeriformes"
"441","Nectarinia venusta","venusta","Nectarinia","venusta","Nectariniidae","Passeriformes"
"442","Nectarinia veroxii","fischeri","Nectarinia","veroxii","Nectariniidae","Passeriformes"
"443","Nectarinia verticalis","bohndorffi","Nectarinia","verticalis","Nectariniidae","Passeriformes"
"444","Nectarinia zeylonica","ssp","Nectarinia","zeylonica","Nectariniidae","Passeriformes"
"445","Nectarinia cuprea","cuprea","Nectarinia","cuprea","Nectariniidae","Passeriformes"
"446","Nectarinia famosa","aeneigularis","Nectarinia","famosa","Nectariniidae","Passeriformes"
"447","Nectarinia johnstoni","dartmouthi","Nectarinia","johnstoni","Nectariniidae","Passeriformes"
"448","Nectarinia kilimensis","ssp","Nectarinia","kilimensis","Nectariniidae","Passeriformes"
"449","Nectarinia tacazze","jacksoni","Nectarinia","tacazze","Nectariniidae","Passeriformes"
"450","Aethopyga siparaja","mangini","Aethopyga","siparaja","Nectariniidae","Passeriformes"
"451","Anthreptes collaris","zambesianus","Anthreptes","collaris","Nectariniidae","Passeriformes"
"452","Anthreptes fraseri","axillaris","Anthreptes","fraseri","Nectariniidae","Passeriformes"
"453","Anthreptes olivacea","ragazzii","Anthreptes","olivacea","Nectariniidae","Passeriformes"
"454","Anthreptes platurus","metallicus","Anthreptes","platurus","Nectariniidae","Passeriformes"
"455","Anthreptes longuemarei","angolensis","Anthreptes","longuemarei","Nectariniidae","Passeriformes"
"456","Anthreptes malacensis","griseigularis","Anthreptes","malacensis","Nectariniidae","Passeriformes"
"457","Anthreptes orientalis","neumanni","Anthreptes","orientalis","Nectariniidae","Passeriformes"
"458","Anthreptes rectirostris","rubritorques","Anthreptes","rectirostris","Nectariniidae","Passeriformes"
"459","Anthreptes reichenowi","reichenowi","Anthreptes","reichenowi","Nectariniidae","Passeriformes"
"460","Arachnothera longirostra","pallida","Arachnothera","longirostra","Nectariniidae","Passeriformes"
"461","Arachnothera magna","magna","Arachnothera","magna","Nectariniidae","Passeriformes"
"462","Hypogramma hypogrammicum","nuchale","Hypogramma","hypogrammicum","Nectariniidae","Passeriformes"
"463","Phyllastrephus albigularis","albigularis","Phyllastrephus","albigularis","Pycnonotidae","Passeriformes"
"464","Phyllastrephus debilis","rabai","Phyllastrephus","debilis","Pycnonotidae","Passeriformes"
"465","Phyllastrephus fischeri","cabanisi","Phyllastrephus","fischeri","Pycnonotidae","Passeriformes"
"466","Phyllastrephus flavostriatus","tenuirostris","Phyllastrephus","flavostriatus","Pycnonotidae","Passeriformes"
"467","Phyllastrephus icterinus","tricolor","Phyllastrephus","icterinus","Pycnonotidae","Passeriformes"
"468","Phyllastrephus scandens","orientalis","Phyllastrephus","scandens","Pycnonotidae","Passeriformes"
"469","Phyllastrephus terrestris","intermedius","Phyllastrephus","terrestris","Pycnonotidae","Passeriformes"
"470","Phyllastrephus xavieri","xavieri","Phyllastrephus","xavieri","Pycnonotidae","Passeriformes"
"471","Pycnonotus ansorgei","kavirondensis","Pycnonotus","ansorgei","Pycnonotidae","Passeriformes"
"472","Pycnonotus curvirostris","curvirostris","Pycnonotus","curvirostris","Pycnonotidae","Passeriformes"
"473","Pycnonotus gracilirostris","chagwensis","Pycnonotus","gracilirostris","Pycnonotidae","Passeriformes"
"474","Pycnonotus gracilis","ugandae","Pycnonotus","gracilis","Pycnonotidae","Passeriformes"
"475","Pycnonotus importunus","subalaris","Pycnonotus","importunus","Pycnonotidae","Passeriformes"
"476","Pycnonotus latirostris","eugenius","Pycnonotus","latirostris","Pycnonotidae","Passeriformes"
"477","Pycnonotus masukuensis","kakamegae","Pycnonotus","masukuensis","Pycnonotidae","Passeriformes"
"478","Pycnonotus milanjensis","milanjensis","Pycnonotus","milanjensis","Pycnonotidae","Passeriformes"
"479","Pycnonotus sp","ssp","Pycnonotus","sp","Pycnonotidae","Passeriformes"
