"","sciname","subspecies","genus","species","family","order"
"2835","Spreo superbus",NA,"Spreo","superbus","Sturnidae","Passeriformes"
"2836","Sturnus nigricollis",NA,"Sturnus","nigricollis","Sturnidae","Passeriformes"
"2837","Sturnus pagodarum",NA,"Sturnus","pagodarum","Sturnidae","Passeriformes"
"2838","Sturnus roseus",NA,"Sturnus","roseus","Sturnidae","Passeriformes"
"2839","Lamprotornis purpureiceps",NA,"Lamprotornis","purpureiceps","Sturnidae","Passeriformes"
"2840","Lamprotornis caudatus",NA,"Lamprotornis","caudatus","Sturnidae","Passeriformes"
"2841","Creatophora cinerea",NA,"Creatophora","cinerea","Sturnidae","Passeriformes"
"2842","Cosmopsarus unicolor",NA,"Cosmopsarus","unicolor","Sturnidae","Passeriformes"
"2843","Cinnyricinclus sharpii",NA,"Cinnyricinclus","sharpii","Sturnidae","Passeriformes"
"2844","Aplonis cantoroides",NA,"Aplonis","cantoroides","Sturnidae","Passeriformes"
"2845","Acridotheres albocinctus",NA,"Acridotheres","albocinctus","Sturnidae","Passeriformes"
"2846","Acridotheres ginginianus",NA,"Acridotheres","ginginianus","Sturnidae","Passeriformes"
"2847","Thryomanes sissonii",NA,"Thryomanes","sissonii","Troglodytidae","Passeriformes"
"2848","Cistothorus apolinari",NA,"Cistothorus","apolinari","Troglodytidae","Passeriformes"
"2849","Pseudotriccus ruficeps",NA,"Pseudotriccus","ruficeps","Tyrannidae","Passeriformes"
"2850","Pogonotriccus eximius",NA,"Pogonotriccus","eximius","Tyrannidae","Passeriformes"
"2851","Poecilotriccus capitale",NA,"Poecilotriccus","capitale","Tyrannidae","Passeriformes"
"2852","Platyrinchus flavigularis",NA,"Platyrinchus","flavigularis","Tyrannidae","Passeriformes"
"2853","Platyrinchus leucoryphus",NA,"Platyrinchus","leucoryphus","Tyrannidae","Passeriformes"
"2854","Platyrinchus saturatus",NA,"Platyrinchus","saturatus","Tyrannidae","Passeriformes"
"2855","Pipromorpha rufiventris",NA,"Pipromorpha","rufiventris","Tyrannidae","Passeriformes"
"2856","Phylloscartes paulistus",NA,"Phylloscartes","paulistus","Tyrannidae","Passeriformes"
"2857","Phylloscartes oustaleti",NA,"Phylloscartes","oustaleti","Tyrannidae","Passeriformes"
"2858","Phaeotriccus poecilocercus",NA,"Phaeotriccus","poecilocercus","Tyrannidae","Passeriformes"
"2859","Serpophaga munda",NA,"Serpophaga","munda","Tyrannidae","Passeriformes"
"2860","Ochthornis littoralis",NA,"Ochthornis","littoralis","Tyrannidae","Passeriformes"
"2861","Nesotriccus ridgwayi",NA,"Nesotriccus","ridgwayi","Tyrannidae","Passeriformes"
"2862","Myiornis auricularis",NA,"Myiornis","auricularis","Tyrannidae","Passeriformes"
"2863","Oreotriccus griseocapillus",NA,"Oreotriccus","griseocapillus","Tyrannidae","Passeriformes"
"2864","Oreotriccus plumbeiceps",NA,"Oreotriccus","plumbeiceps","Tyrannidae","Passeriformes"
"2865","Todirostrum poliocephalum",NA,"Todirostrum","poliocephalum","Tyrannidae","Passeriformes"
"2866","Myiophobus cryptoxanthus",NA,"Myiophobus","cryptoxanthus","Tyrannidae","Passeriformes"
"2867","Xolmis cinerea",NA,"Xolmis","cinerea","Tyrannidae","Passeriformes"
"2868","Xolmis coronata",NA,"Xolmis","coronata","Tyrannidae","Passeriformes"
"2869","Xolmis murina",NA,"Xolmis","murina","Tyrannidae","Passeriformes"
"2870","Xolmis velata",NA,"Xolmis","velata","Tyrannidae","Passeriformes"
"2871","Tyrannus forficatus",NA,"Tyrannus","forficatus","Tyrannidae","Passeriformes"
"2872","Tyrannus tyrannus",NA,"Tyrannus","tyrannus","Tyrannidae","Passeriformes"
"2873","Ammoperdix heyi","intermedia","Ammoperdix","heyi","Phasianidae","Galliformes"
"2874","Tyrannus albogularis",NA,"Tyrannus","albogularis","Tyrannidae","Passeriformes"
"2875","Tyrannopsis sulphurea",NA,"Tyrannopsis","sulphurea","Tyrannidae","Passeriformes"
"2876","Tyranniscus uropygialis",NA,"Tyranniscus","uropygialis","Tyrannidae","Passeriformes"
"2877","Vermivora virginiae",NA,"Vermivora","virginiae","Parulidae","Passeriformes"
"2878","Satrapa icterophrys",NA,"Satrapa","icterophrys","Tyrannidae","Passeriformes"
"2879","Zimmerius gracilipes",NA,"Zimmerius","gracilipes","Tyrannidae","Passeriformes"
"2880","Sayornis phoebe",NA,"Sayornis","phoebe","Tyrannidae","Passeriformes"
"2881","Rhytipterna immunda",NA,"Rhytipterna","immunda","Tyrannidae","Passeriformes"
"2882","Rhynchocyclus fulvipectus",NA,"Rhynchocyclus","fulvipectus","Tyrannidae","Passeriformes"
"2883","Ramphotrigon fuscicauda",NA,"Ramphotrigon","fuscicauda","Tyrannidae","Passeriformes"
"2884","Ramphotrigon ruficauda",NA,"Ramphotrigon","ruficauda","Tyrannidae","Passeriformes"
"2885","Entotriccus striaticeps",NA,"Entotriccus","striaticeps","Tyrannidae","Passeriformes"
"2886","Afrotis atra",NA,"Afrotis","atra","Otididae","Gruiformes"
"2887","Empidonax hammondii",NA,"Empidonax","hammondii","Tyrannidae","Passeriformes"
"2888","Empidonax flaviventris",NA,"Empidonax","flaviventris","Tyrannidae","Passeriformes"
"2889","Trichoglossus chlorolepidotus",NA,"Trichoglossus","chlorolepidotus","Loriidae","Psittaciformes"
"2890","Empidonax minimus",NA,"Empidonax","minimus","Tyrannidae","Passeriformes"
"2891","Empidonax oberholseri",NA,"Empidonax","oberholseri","Tyrannidae","Passeriformes"
"2892","Empidonax alnorum",NA,"Empidonax","alnorum","Tyrannidae","Passeriformes"
"2893","Empidonax atriceps",NA,"Empidonax","atriceps","Tyrannidae","Passeriformes"
"2894","Empidonax virescens",NA,"Empidonax","virescens","Tyrannidae","Passeriformes"
"2895","Chendytes lawi cf",NA,"Chendytes","lawi cf","Anatidae","Anseriformes"
"2896","Myiopagis flavivertex",NA,"Myiopagis","flavivertex","Tyrannidae","Passeriformes"
"2897","Gubernetes yetapa",NA,"Gubernetes","yetapa","Tyrannidae","Passeriformes"
"2898","Colopteryx galeatus",NA,"Colopteryx","galeatus","Tyrannidae","Passeriformes"
"2899","Elaenia mesoleuca",NA,"Elaenia","mesoleuca","Tyrannidae","Passeriformes"
"2900","Elaenia pallatangae",NA,"Elaenia","pallatangae","Tyrannidae","Passeriformes"
"2901","Elaenia parvirostris",NA,"Elaenia","parvirostris","Tyrannidae","Passeriformes"
"2902","Elaenia pelzelni",NA,"Elaenia","pelzelni","Tyrannidae","Passeriformes"
"2903","Elaenia ruficeps",NA,"Elaenia","ruficeps","Tyrannidae","Passeriformes"
"2904","Elaenia spectabilis",NA,"Elaenia","spectabilis","Tyrannidae","Passeriformes"
"2905","Casiornis fusca",NA,"Casiornis","fusca","Tyrannidae","Passeriformes"
"2906","Casiornis rufa",NA,"Casiornis","rufa","Tyrannidae","Passeriformes"
"2907","Casiornis rufus",NA,"Casiornis","rufus","Tyrannidae","Passeriformes"
"2908","Arundinicola leucocephala",NA,"Arundinicola","leucocephala","Tyrannidae","Passeriformes"
"2909","Anairetes fernandezianus",NA,"Anairetes","fernandezianus","Tyrannidae","Passeriformes"
"2910","Acrochordopus burmeisteri",NA,"Acrochordopus","burmeisteri","Tyrannidae","Passeriformes"
"2911","Myiodynastes bairdi",NA,"Myiodynastes","bairdi","Tyrannidae","Passeriformes"
"2912","Myiodynastes hemichrysus",NA,"Myiodynastes","hemichrysus","Tyrannidae","Passeriformes"
"2913","Myiodynastes bairdii",NA,"Myiodynastes","bairdii","Tyrannidae","Passeriformes"
"2914","Myiarchus panamensis",NA,"Myiarchus","panamensis","Tyrannidae","Passeriformes"
"2915","Myiarchus apicalis",NA,"Myiarchus","apicalis","Tyrannidae","Passeriformes"
"2916","Myiarchus magnirostris",NA,"Myiarchus","magnirostris","Tyrannidae","Passeriformes"
"2917","Contopus cooperi",NA,"Contopus","cooperi","Tyrannidae","Passeriformes"
"2918","Buteo sp",NA,"Buteo","sp","Accipitridae","Falconiformes"
"2919","Mecocerculus poecilocercus",NA,"Mecocerculus","poecilocercus","Tyrannidae","Passeriformes"
"2920","Leptotriccus sylviolus",NA,"Leptotriccus","sylviolus","Tyrannidae","Passeriformes"
"2921","Laniocera hypopyrrha",NA,"Laniocera","hypopyrrha","Tyrannidae","Passeriformes"
"2922","Knipolegus cabanisi",NA,"Knipolegus","cabanisi","Tyrannidae","Passeriformes"
"2923","Knipolegus cyanirostris",NA,"Knipolegus","cyanirostris","Tyrannidae","Passeriformes"
"2924","Knipolegus lophotes",NA,"Knipolegus","lophotes","Tyrannidae","Passeriformes"
"2925","Knipolegus nigerrimus",NA,"Knipolegus","nigerrimus","Tyrannidae","Passeriformes"
"2926","Idioptilon zosterops",NA,"Idioptilon","zosterops","Tyrannidae","Passeriformes"
"2927","Muscipipra vetula",NA,"Muscipipra","vetula","Tyrannidae","Passeriformes"
"2928","Calicalicus madagascariensis",NA,"Calicalicus","madagascariensis","Vangidae","Passeriformes"
"2929","Falculea palliata",NA,"Falculea","palliata","Vangidae","Passeriformes"
"2930","Hylophilus pectoralis",NA,"Hylophilus","pectoralis","Vireonidae","Passeriformes"
"2931","Hylophilus semibrunneus",NA,"Hylophilus","semibrunneus","Vireonidae","Passeriformes"
"2932","Ducula lacernulata","sasakensis","Ducula","lacernulata","Columbidae","Columbiformes"
"2933","Vireo flavifrons",NA,"Vireo","flavifrons","Vireonidae","Passeriformes"
"2934","Vireo philadelphicus",NA,"Vireo","philadelphicus","Vireonidae","Passeriformes"
"2935","Vireo vicinior",NA,"Vireo","vicinior","Vireonidae","Passeriformes"
"2936","Vireo carmioli",NA,"Vireo","carmioli","Vireonidae","Passeriformes"
"2937","Tryngites subruficollis",NA,"Tryngites","subruficollis","Scolopacidae","Charadriiformes"
"2938","Limnothlypis swainsonii",NA,"Limnothlypis","swainsonii","Parulidae","Passeriformes"
"2939","Empidonax sp",NA,"Empidonax","sp","Tyrannidae","Passeriformes"
"2940","Pyriglena leucoptera",NA,"Pyriglena","leucoptera","Formicariidae","Passeriformes"
"2941","Sakesphorus melanonotus",NA,"Sakesphorus","melanonotus","Formicariidae","Passeriformes"
"2942","Myrmeciza loricata",NA,"Myrmeciza","loricata","Formicariidae","Passeriformes"
"2943","Myrmeciza melanoceps",NA,"Myrmeciza","melanoceps","Formicariidae","Passeriformes"
"2944","Myrmeciza stictothorax",NA,"Myrmeciza","stictothorax","Formicariidae","Passeriformes"
"2945","Sipia berlepschi",NA,"Sipia","berlepschi","Formicariidae","Passeriformes"
"2946","Sipia rosenbergi",NA,"Sipia","rosenbergi","Formicariidae","Passeriformes"
"2947","Myrmotherula gularis",NA,"Myrmotherula","gularis","Formicariidae","Passeriformes"
"2948","Myrmotherula guttata",NA,"Myrmotherula","guttata","Formicariidae","Passeriformes"
"2949","Myrmotherula gutturalis",NA,"Myrmotherula","gutturalis","Formicariidae","Passeriformes"
"2950","Myrmotherula minor",NA,"Myrmotherula","minor","Formicariidae","Passeriformes"
"2951","Myrmotherula obscura",NA,"Myrmotherula","obscura","Formicariidae","Passeriformes"
"2952","Terenura maculata",NA,"Terenura","maculata","Formicariidae","Passeriformes"
"2953","Thamnophilus bridgesi",NA,"Thamnophilus","bridgesi","Formicariidae","Passeriformes"
"2954","Tyrannus couchii",NA,"Tyrannus","couchii","Tyrannidae","Passeriformes"
"2955","Thamnophilus torquatus",NA,"Thamnophilus","torquatus","Formicariidae","Passeriformes"
"2956","Formicivora serrana",NA,"Formicivora","serrana","Formicariidae","Passeriformes"
"2957","Biatas nigropectus",NA,"Biatas","nigropectus","Formicariidae","Passeriformes"
"2958","Cercomacra brasiliana",NA,"Cercomacra","brasiliana","Formicariidae","Passeriformes"
"2959","Cercomacra carbonaria",NA,"Cercomacra","carbonaria","Formicariidae","Passeriformes"
"2960","Cercomacra nigricans",NA,"Cercomacra","nigricans","Formicariidae","Passeriformes"
"2961","Chamaeza meruloides",NA,"Chamaeza","meruloides","Formicariidae","Passeriformes"
"2962","Drymophila ferruginea",NA,"Drymophila","ferruginea","Formicariidae","Passeriformes"
"2963","Drymophila genei",NA,"Drymophila","genei","Formicariidae","Passeriformes"
"2964","Drymophila malura",NA,"Drymophila","malura","Formicariidae","Passeriformes"
"2965","Drymophila ochropyga",NA,"Drymophila","ochropyga","Formicariidae","Passeriformes"
"2966","Drymophila squamata",NA,"Drymophila","squamata","Formicariidae","Passeriformes"
"2967","Megastictus margaritatus",NA,"Megastictus","margaritatus","Formicariidae","Passeriformes"
"2968","Mackenziaena leachii",NA,"Mackenziaena","leachii","Formicariidae","Passeriformes"
"2969","Mackenziaena severa",NA,"Mackenziaena","severa","Formicariidae","Passeriformes"
"2970","Dysithamnus stictothorax",NA,"Dysithamnus","stictothorax","Formicariidae","Passeriformes"
"2971","Dysithamnus xanthopterus",NA,"Dysithamnus","xanthopterus","Formicariidae","Passeriformes"
"2972","Petroica cucullata",NA,"Petroica","cucullata","Muscicapidae","Passeriformes"
"2973","Petroica goodenovii",NA,"Petroica","goodenovii","Muscicapidae","Passeriformes"
"2974","Petroica phoenicea",NA,"Petroica","phoenicea","Muscicapidae","Passeriformes"
"2975","Petroica rosea",NA,"Petroica","rosea","Muscicapidae","Passeriformes"
"2976","Phoenicurus carnifex",NA,"Phoenicurus","carnifex","Muscicapidae","Passeriformes"
"2977","Phoenicurus auroreus",NA,"Phoenicurus","auroreus","Muscicapidae","Passeriformes"
"2978","Phylloscopus budongoensis",NA,"Phylloscopus","budongoensis","Muscicapidae","Passeriformes"
"2979","Phylloscopus nitidus",NA,"Phylloscopus","nitidus","Muscicapidae","Passeriformes"
"2980","Phylloscopus sibilatrix",NA,"Phylloscopus","sibilatrix","Muscicapidae","Passeriformes"
"2981","Picathartes gymnocephalus",NA,"Picathartes","gymnocephalus","Muscicapidae","Passeriformes"
"2982","Pinarornis plumosus",NA,"Pinarornis","plumosus","Muscicapidae","Passeriformes"
"2983","Pitohui dichrous",NA,"Pitohui","dichrous","Muscicapidae","Passeriformes"
"2984","Patagioenas nigrirostris",NA,"Patagioenas","nigrirostris","Columbidae","Columbiformes"
"2985","Myioparus griseigularis",NA,"Myioparus","griseigularis","Muscicapidae","Passeriformes"
"2986","Microeca flavigaster",NA,"Microeca","flavigaster","Muscicapidae","Passeriformes"
"2987","Amazilia viridifrons",NA,"Amazilia","viridifrons","Trochilidae","Apodiformes"
"2988","Microeca leucophaea",NA,"Microeca","leucophaea","Muscicapidae","Passeriformes"
"2989","Himantopus melanurus",NA,"Himantopus","melanurus","Recurvirostridae","Charadriiformes"
"2990","Panyptila sanctihieronymi",NA,"Panyptila","sanctihieronymi","Apodidae","Apodiformes"
"2991","Euthlypis lachrymosa",NA,"Euthlypis","lachrymosa","Parulidae","Passeriformes"
"2992","Monarcha inflex",NA,"Monarcha","inflex","Muscicapidae","Passeriformes"
"2993","Monarcha leucotis",NA,"Monarcha","leucotis","Muscicapidae","Passeriformes"
"2994","Monarcha mencki",NA,"Monarcha","mencki","Muscicapidae","Passeriformes"
"2995","Monarcha trivirgata",NA,"Monarcha","trivirgata","Muscicapidae","Passeriformes"
"2996","Monticola angolensis",NA,"Monticola","angolensis","Muscicapidae","Passeriformes"
"2997","Monticola saxatilis",NA,"Monticola","saxatilis","Muscicapidae","Passeriformes"
"2998","Muscicapa cassini",NA,"Muscicapa","cassini","Muscicapidae","Passeriformes"
"2999","Muscicapa comitata",NA,"Muscicapa","comitata","Muscicapidae","Passeriformes"
"3000","Muscicapa gambagae",NA,"Muscicapa","gambagae","Muscicapidae","Passeriformes"
"3001","Muscicapa infuscata",NA,"Muscicapa","infuscata","Muscicapidae","Passeriformes"
"3002","Muscicapa sethsmithi",NA,"Muscicapa","sethsmithi","Muscicapidae","Passeriformes"
"3003","Oxylabes madagascariensis",NA,"Oxylabes","madagascariensis","Muscicapidae","Passeriformes"
"3004","Myiagra rubecula",NA,"Myiagra","rubecula","Muscicapidae","Passeriformes"
"3005","Myrmecocichla nigra",NA,"Myrmecocichla","nigra","Muscicapidae","Passeriformes"
"3006","Niltava davidi",NA,"Niltava","davidi","Muscicapidae","Passeriformes"
"3007","Oenanthe isabellina",NA,"Oenanthe","isabellina","Muscicapidae","Passeriformes"
"3008","Oenanthe pileata",NA,"Oenanthe","pileata","Muscicapidae","Passeriformes"
"3009","Seiurus motacilla",NA,"Seiurus","motacilla","Parulidae","Passeriformes"
"3010","Polioptila lactea",NA,"Polioptila","lactea","Muscicapidae","Passeriformes"
"3011","Orthotomus derbianus",NA,"Orthotomus","derbianus","Muscicapidae","Passeriformes"
"3012","Vireo bairdi",NA,"Vireo","bairdi","Vireonidae","Passeriformes"
"3013","Vireo atricapillus",NA,"Vireo","atricapillus","Vireonidae","Passeriformes"
"3014","Spiloptila clamans",NA,"Spiloptila","clamans","Muscicapidae","Passeriformes"
"3015","Sylvia nisoria",NA,"Sylvia","nisoria","Muscicapidae","Passeriformes"
"3016","Sylvia rueppelli",NA,"Sylvia","rueppelli","Muscicapidae","Passeriformes"
"3017","Sialia currucoides",NA,"Sialia","currucoides","Muscicapidae","Passeriformes"
"3018","Sericornis frontalis",NA,"Sericornis","frontalis","Muscicapidae","Passeriformes"
"3019","Sericornis perspicillatus",NA,"Sericornis","perspicillatus","Muscicapidae","Passeriformes"
"3020","Trichastoma poliothorax",NA,"Trichastoma","poliothorax","Muscicapidae","Passeriformes"
"3021","Trichastoma pyrrhopterum",NA,"Trichastoma","pyrrhopterum","Muscicapidae","Passeriformes"
"3022","Chlorostilbon maugaeus",NA,"Chlorostilbon","maugaeus","Trochilidae","Apodiformes"
"3023","Trochocercus nigromitratus",NA,"Trochocercus","nigromitratus","Muscicapidae","Passeriformes"
"3024","Turdoides bicolor",NA,"Turdoides","bicolor","Muscicapidae","Passeriformes"
"3025","Turdoides malcolmi",NA,"Turdoides","malcolmi","Muscicapidae","Passeriformes"
"3026","Cardellina rubrifrons",NA,"Cardellina","rubrifrons","Parulidae","Passeriformes"
"3027","Turdus amaurochalinus",NA,"Turdus","amaurochalinus","Muscicapidae","Passeriformes"
"3028","Turdus boulboul",NA,"Turdus","boulboul","Muscicapidae","Passeriformes"
"3029","Turdus cardis",NA,"Turdus","cardis","Muscicapidae","Passeriformes"
"3030","Turdus fulviventris",NA,"Turdus","fulviventris","Muscicapidae","Passeriformes"
"3031","Turdus nigrescens",NA,"Turdus","nigrescens","Muscicapidae","Passeriformes"
"3032","Turdus obscurus",NA,"Turdus","obscurus","Muscicapidae","Passeriformes"
"3033","Turdus pilaris",NA,"Turdus","pilaris","Muscicapidae","Passeriformes"
"3034","Turdus reevei",NA,"Turdus","reevei","Muscicapidae","Passeriformes"
"3035","Turdus rufitorques",NA,"Turdus","rufitorques","Muscicapidae","Passeriformes"
"3036","Pluvialis dominica",NA,"Pluvialis","dominica","Charadriidae","Charadriiformes"
"3037","Turdus tephronotus",NA,"Turdus","tephronotus","Muscicapidae","Passeriformes"
"3038","Zoothera kibalensis",NA,"Zoothera","kibalensis","Muscicapidae","Passeriformes"
"3039","Zoothera oberlaenderi",NA,"Zoothera","oberlaenderi","Muscicapidae","Passeriformes"
"3040","Zoothera tanganjicae",NA,"Zoothera","tanganjicae","Muscicapidae","Passeriformes"
"3041","Prinia buchanani",NA,"Prinia","buchanani","Muscicapidae","Passeriformes"
"3042","Prinia hodgsoni",NA,"Prinia","hodgsoni","Muscicapidae","Passeriformes"
"3043","Prinia robertsi",NA,"Prinia","robertsi","Muscicapidae","Passeriformes"
"3044","Smicrornis brevirostris",NA,"Smicrornis","brevirostris","Muscicapidae","Passeriformes"
"3045","Melaenornis ardesiaca",NA,"Melaenornis","ardesiaca","Muscicapidae","Passeriformes"
"3046","Melaenornis pammelaina",NA,"Melaenornis","pammelaina","Muscicapidae","Passeriformes"
"3047","Rhipidura fuliginosa",NA,"Rhipidura","fuliginosa","Muscicapidae","Passeriformes"
"3048","Rhipidura matthiae",NA,"Rhipidura","matthiae","Muscicapidae","Passeriformes"
"3049","Rhipidura rufifrons",NA,"Rhipidura","rufifrons","Muscicapidae","Passeriformes"
"3050","Saxicola ferrea",NA,"Saxicola","ferrea","Muscicapidae","Passeriformes"
"3051","Saxicola rubetra",NA,"Saxicola","rubetra","Muscicapidae","Passeriformes"
"3052","Seisura inquieta",NA,"Seisura","inquieta","Muscicapidae","Passeriformes"
"3053","Chloropeta similis",NA,"Chloropeta","similis","Muscicapidae","Passeriformes"
"3054","Cercomela fusca",NA,"Cercomela","fusca","Muscicapidae","Passeriformes"
"3055","Cisticola angusticauda",NA,"Cisticola","angusticauda","Muscicapidae","Passeriformes"
"3056","Cisticola carruthersi",NA,"Cisticola","carruthersi","Muscicapidae","Passeriformes"
"3057","Cisticola cherina",NA,"Cisticola","cherina","Muscicapidae","Passeriformes"
"3058","Cisticola chubbi",NA,"Cisticola","chubbi","Muscicapidae","Passeriformes"
"3059","Cisticola cinereola",NA,"Cisticola","cinereola","Muscicapidae","Passeriformes"
"3060","Falco rusticolus",NA,"Falco","rusticolus","Falconidae","Falconiformes"
"3061","Harpyhaliaetus coronatus",NA,"Harpyhaliaetus","coronatus","Accipitridae","Falconiformes"
"3062","Cisticola nana",NA,"Cisticola","nana","Muscicapidae","Passeriformes"
"3063","Cisticola restricta",NA,"Cisticola","restricta","Muscicapidae","Passeriformes"
"3064","Cochoa azurea",NA,"Cochoa","azurea","Muscicapidae","Passeriformes"
"3065","Cossypha archeri",NA,"Cossypha","archeri","Muscicapidae","Passeriformes"
"3066","Aramus guarauna",NA,"Aramus","guarauna","Aramidae","Gruiformes"
"3067","Casuarius bennetti",NA,"Casuarius","bennetti","Casuariidae","Casuariiformes"
"3068","Dacelo gaudichaud",NA,"Dacelo","gaudichaud","Alcedinidae","Coraciiformes"
"3069","Acrocephalus aequinoctialis",NA,"Acrocephalus","aequinoctialis","Muscicapidae","Passeriformes"
"3070","Acrocephalus schoenobaenus",NA,"Acrocephalus","schoenobaenus","Muscicapidae","Passeriformes"
"3071","Alcippe atriceps",NA,"Alcippe","atriceps","Muscicapidae","Passeriformes"
"3072","Alethe poliophrys",NA,"Alethe","poliophrys","Muscicapidae","Passeriformes"
"3073","Microeca papuana",NA,"Microeca","papuana","Muscicapidae","Passeriformes"
"3074","Euplectes franciscanus",NA,"Euplectes","franciscanus","Ploceidae","Passeriformes"
"3075","Apalis ruwenzori",NA,"Apalis","ruwenzori","Muscicapidae","Passeriformes"
"3076","Batis diops",NA,"Batis","diops","Muscicapidae","Passeriformes"
"3077","Batis mixta",NA,"Batis","mixta","Muscicapidae","Passeriformes"
"3078","Batis molitor",NA,"Batis","molitor","Muscicapidae","Passeriformes"
"3079","Batis perkeo",NA,"Batis","perkeo","Muscicapidae","Passeriformes"
"3080","Batis senegalensis",NA,"Batis","senegalensis","Muscicapidae","Passeriformes"
"3081","Camaroptera superciliaris",NA,"Camaroptera","superciliaris","Muscicapidae","Passeriformes"
"3082","Aphelocephala leucopsis",NA,"Aphelocephala","leucopsis","Muscicapidae","Passeriformes"
"3083","Drymocichla incana",NA,"Drymocichla","incana","Muscicapidae","Passeriformes"
"3084","Hippolais icterina",NA,"Hippolais","icterina","Muscicapidae","Passeriformes"
"3085","Hippolais languida",NA,"Hippolais","languida","Muscicapidae","Passeriformes"
"3086","Hippolais polyglotta",NA,"Hippolais","polyglotta","Muscicapidae","Passeriformes"
"3087","Hylocichla mustelina",NA,"Hylocichla","mustelina","Muscicapidae","Passeriformes"
"3088","Hemitesia neumanni",NA,"Hemitesia","neumanni","Muscicapidae","Passeriformes"
"3089","Chthonicola sagittata",NA,"Chthonicola","sagittata","Muscicapidae","Passeriformes"
"3090","Malurus cyaneus",NA,"Malurus","cyaneus","Muscicapidae","Passeriformes"
"3091","Malurus lamberti",NA,"Malurus","lamberti","Muscicapidae","Passeriformes"
"3092","Malurus melanocephalus",NA,"Malurus","melanocephalus","Muscicapidae","Passeriformes"
"3093","Eminia lepida",NA,"Eminia","lepida","Muscicapidae","Passeriformes"
"3094","Entomodestes coracinus",NA,"Entomodestes","coracinus","Muscicapidae","Passeriformes"
"3095","Eopsaltria australis",NA,"Eopsaltria","australis","Muscicapidae","Passeriformes"
"3096","Erannornis albicauda",NA,"Erannornis","albicauda","Muscicapidae","Passeriformes"
"3097","Erithacus aequatorialis",NA,"Erithacus","aequatorialis","Muscicapidae","Passeriformes"
"3098","Erithacus calliope",NA,"Erithacus","calliope","Muscicapidae","Passeriformes"
"3099","Erithacus luscinia",NA,"Erithacus","luscinia","Muscicapidae","Passeriformes"
"3100","Erythrocercus holochlorus",NA,"Erythrocercus","holochlorus","Muscicapidae","Passeriformes"
"3101","Ficedula cyanomelana",NA,"Ficedula","cyanomelana","Muscicapidae","Passeriformes"
"3102","Ficedula albicollis",NA,"Ficedula","albicollis","Muscicapidae","Passeriformes"
"3103","Garrulax ruficollis",NA,"Garrulax","ruficollis","Muscicapidae","Passeriformes"
"3104","Accipiter bicolor",NA,"Accipiter","bicolor","Accipitridae","Falconiformes"
"3105","Garrulax sp",NA,"Garrulax","sp","Muscicapidae","Passeriformes"
"3106","Accipiter minullus",NA,"Accipiter","minullus","Accipitridae","Falconiformes"
"3107","Gerygone fusca",NA,"Gerygone","fusca","Muscicapidae","Passeriformes"
"3108","Gerygone olivacea",NA,"Gerygone","olivacea","Muscicapidae","Passeriformes"
"3109","Graueria vittata",NA,"Graueria","vittata","Muscicapidae","Passeriformes"
"3110","Erythropygia hartlaubi",NA,"Erythropygia","hartlaubi","Muscicapidae","Passeriformes"
"3111","Accipiter poliogaster",NA,"Accipiter","poliogaster","Accipitridae","Falconiformes"
"3112","Temnurus temnurus",NA,"Temnurus","temnurus","Corvidae","Passeriformes"
"3113","Ptilostomus afer",NA,"Ptilostomus","afer","Corvidae","Passeriformes"
"3114","Pica hudsonia",NA,"Pica","hudsonia","Corvidae","Passeriformes"
"3115","Pica nuttalli",NA,"Pica","nuttalli","Corvidae","Passeriformes"
"3116","Palaeocorax moriorum",NA,"Palaeocorax","moriorum","Corvidae","Passeriformes"
"3117","Nucifraga columbiana",NA,"Nucifraga","columbiana","Corvidae","Passeriformes"
"3118","Garrulus lidthi",NA,"Garrulus","lidthi","Corvidae","Passeriformes"
"3119","Selasphorus",NA,"Selasphorus",NA,"Trochilidae","Apodiformes"
"3120","Urocissa caerulea",NA,"Urocissa","caerulea","Corvidae","Passeriformes"
"3121","Cyanolyca sp",NA,"Cyanolyca","sp","Corvidae","Passeriformes"
"3122","Cyanolyca pulchra",NA,"Cyanolyca","pulchra","Corvidae","Passeriformes"
"3123","Cyanocorax beecheii",NA,"Cyanocorax","beecheii","Corvidae","Passeriformes"
"3124","Cyanocorax dickeyi",NA,"Cyanocorax","dickeyi","Corvidae","Passeriformes"
"3125","Cyanocorax caeruleus",NA,"Cyanocorax","caeruleus","Corvidae","Passeriformes"
"3126","Cyanocorax cristatellus",NA,"Cyanocorax","cristatellus","Corvidae","Passeriformes"
"3127","Crypsirina temia",NA,"Crypsirina","temia","Corvidae","Passeriformes"
"3128","Corvus tropicus",NA,"Corvus","tropicus","Corvidae","Passeriformes"
"3129","Corvus caurinus",NA,"Corvus","caurinus","Corvidae","Passeriformes"
"3130","Corvus cryptoleucus",NA,"Corvus","cryptoleucus","Corvidae","Passeriformes"
"3131","Corvus sinaloae",NA,"Corvus","sinaloae","Corvidae","Passeriformes"
"3132","Corvus albicollis",NA,"Corvus","albicollis","Corvidae","Passeriformes"
"3133","Corvus albus",NA,"Corvus","albus","Corvidae","Passeriformes"
"3134","Corvus bennetti",NA,"Corvus","bennetti","Corvidae","Passeriformes"
"3135","Corvus capensis",NA,"Corvus","capensis","Corvidae","Passeriformes"
"3136","Corvus rhipidurus",NA,"Corvus","rhipidurus","Corvidae","Passeriformes"
