"","fullname","sciname","subspecies","genus","species","family","order"
"11401","Phaps chalcoptera ssp","Phaps chalcoptera","ssp","Phaps","chalcoptera","Columbidae","Columbiformes"
"11402","Ducula aenea ssp","Ducula aenea","ssp","Ducula","aenea","Columbidae","Columbiformes"
"11403","Odontophorus erythrops ssp","Odontophorus erythrops","ssp","Odontophorus","erythrops","Phasianidae","Galliformes"
"11404","Lophura erythrophthalma pyronota","Lophura erythrophthalma","pyronota","Lophura","erythrophthalma","Phasianidae","Galliformes"
"11405","Lophura ignita ignita","Lophura ignita","ignita","Lophura","ignita","Phasianidae","Galliformes"
"11406","Chlorostilbon aureoventris ssp","Chlorostilbon aureoventris","ssp","Chlorostilbon","aureoventris","Trochilidae","Apodiformes"
"11407","Colinus virginianus maculatus","Colinus virginianus","maculatus","Colinus","virginianus","Phasianidae","Galliformes"
"11408","Colinus virginianus graysoni","Colinus virginianus","graysoni","Colinus","virginianus","Phasianidae","Galliformes"
"11409","Colinus virginianus aridus","Colinus virginianus","aridus","Colinus","virginianus","Phasianidae","Galliformes"
"11410","Nigrita canicapilla canicapilla","Nigrita canicapilla","canicapilla","Nigrita","canicapilla","Estrildidae","Passeriformes"
"11411","Parmoptila woodhousei woodhousei","Parmoptila woodhousei","woodhousei","Parmoptila","woodhousei","Estrildidae","Passeriformes"
"11412","Dicrurus atripennis NA","Dicrurus atripennis",NA,"Dicrurus","atripennis","Dicruridae","Passeriformes"
"11413","Euschistospiza dybowskii NA","Euschistospiza dybowskii",NA,"Euschistospiza","dybowskii","Estrildidae","Passeriformes"
"11414","Eudyptula minor novaehollandiae","Eudyptula minor","novaehollandiae","Eudyptula","minor","Spheniscidae","Sphenisciformes"
"11415","Spheniscus magellanicus NA","Spheniscus magellanicus",NA,"Spheniscus","magellanicus","Spheniscidae","Sphenisciformes"
"11416","Entomyzon cyanotis griseigularis","Entomyzon cyanotis","griseigularis","Entomyzon","cyanotis","Meliphagidae","Passeriformes"
"11417","Carpodacus mexicanus amplus","Carpodacus mexicanus","amplus","Carpodacus","mexicanus","Fringillidae","Passeriformes"
