"","fullname","sciname","subspecies","genus","species","family","order"
"808","Thamnophilus doliatus capistratus","Thamnophilus doliatus","capistratus","Thamnophilus","doliatus","Formicariidae","Passeriformes"
"809","Thamnophilus doliatus doliatus","Thamnophilus doliatus","doliatus","Thamnophilus","doliatus","Formicariidae","Passeriformes"
"810","Thamnophilus doliatus fraterculus","Thamnophilus doliatus","fraterculus","Thamnophilus","doliatus","Formicariidae","Passeriformes"
"811","Thamnophilus doliatus intermedius","Thamnophilus doliatus","intermedius","Thamnophilus","doliatus","Formicariidae","Passeriformes"
"812","Thamnophilus doliatus pacificus","Thamnophilus doliatus","pacificus","Thamnophilus","doliatus","Formicariidae","Passeriformes"
"813","Thamnophilus doliatus radiatus","Thamnophilus doliatus","radiatus","Thamnophilus","doliatus","Formicariidae","Passeriformes"
"814","Thamnophilus doliatus signatus","Thamnophilus doliatus","signatus","Thamnophilus","doliatus","Formicariidae","Passeriformes"
"815","Thamnophilus multistriatus multistriatus","Thamnophilus multistriatus","multistriatus","Thamnophilus","multistriatus","Formicariidae","Passeriformes"
"816","Thamnophilus multistriatus brachyurus","Thamnophilus multistriatus","brachyurus","Thamnophilus","multistriatus","Formicariidae","Passeriformes"
"817","Thamnophilus murinus murinus","Thamnophilus murinus","murinus","Thamnophilus","murinus","Formicariidae","Passeriformes"
"818","Thamnophilus murinus cayennensis","Thamnophilus murinus","cayennensis","Thamnophilus","murinus","Formicariidae","Passeriformes"
"819","Thamnophilus nigriceps magdalenae","Thamnophilus nigriceps","magdalenae","Thamnophilus","nigriceps","Formicariidae","Passeriformes"
"820","Thamnophilus palliatus palliatus","Thamnophilus palliatus","palliatus","Thamnophilus","palliatus","Formicariidae","Passeriformes"
"821","Thamnophilus punctatus ambiguus","Thamnophilus punctatus","ambiguus","Thamnophilus","punctatus","Formicariidae","Passeriformes"
"822","Thamnophilus punctatus atrinucha","Thamnophilus punctatus","atrinucha","Thamnophilus","punctatus","Formicariidae","Passeriformes"
"823","Thamnophilus punctatus interpositus","Thamnophilus punctatus","interpositus","Thamnophilus","punctatus","Formicariidae","Passeriformes"
"824","Thamnophilus punctatus pelzelni","Thamnophilus punctatus","pelzelni","Thamnophilus","punctatus","Formicariidae","Passeriformes"
"825","Thamnophilus punctatus punctatus","Thamnophilus punctatus","punctatus","Thamnophilus","punctatus","Formicariidae","Passeriformes"
"826","Thamnophilus punctatus saturatus","Thamnophilus punctatus","saturatus","Thamnophilus","punctatus","Formicariidae","Passeriformes"
"827","Thamnophilus punctatus subcinereus","Thamnophilus punctatus","subcinereus","Thamnophilus","punctatus","Formicariidae","Passeriformes"
"828","Thamnophilus punctatus zimmeri","Thamnophilus punctatus","zimmeri","Thamnophilus","punctatus","Formicariidae","Passeriformes"
"829","Thamnophilus ruficapillus ruficapillus","Thamnophilus ruficapillus","ruficapillus","Thamnophilus","ruficapillus","Formicariidae","Passeriformes"
"830","Thamnophilus schistaceus capitalis","Thamnophilus schistaceus","capitalis","Thamnophilus","schistaceus","Formicariidae","Passeriformes"
"831","Thamnophilus schistaceus inornatus","Thamnophilus schistaceus","inornatus","Thamnophilus","schistaceus","Formicariidae","Passeriformes"
"832","Thamnophilus tenuepunctatus tenuifasciatus","Thamnophilus tenuepunctatus","tenuifasciatus","Thamnophilus","tenuepunctatus","Formicariidae","Passeriformes"
"833","Thamnophilus unicolor grandior","Thamnophilus unicolor","grandior","Thamnophilus","unicolor","Formicariidae","Passeriformes"
"834","Sclateria naevia naevia","Sclateria naevia","naevia","Sclateria","naevia","Formicariidae","Passeriformes"
"835","Formicivora grisea fumosa","Formicivora grisea","fumosa","Formicivora","grisea","Formicariidae","Passeriformes"
"836","Formicivora grisea intermedia","Formicivora grisea","intermedia","Formicivora","grisea","Formicariidae","Passeriformes"
"837","Formicivora grisea hondae","Formicivora grisea","hondae","Formicivora","grisea","Formicariidae","Passeriformes"
"838","Formicivora grisea grisea","Formicivora grisea","grisea","Formicivora","grisea","Formicariidae","Passeriformes"
"839","Formicivora melanogaster bahiae","Formicivora melanogaster","bahiae","Formicivora","melanogaster","Formicariidae","Passeriformes"
"840","Formicivora rufa chapmani","Formicivora rufa","chapmani","Formicivora","rufa","Formicariidae","Passeriformes"
"841","Formicivora rufa rufa","Formicivora rufa","rufa","Formicivora","rufa","Formicariidae","Passeriformes"
"842","Formicivora rufa rufatra","Formicivora rufa","rufatra","Formicivora","rufa","Formicariidae","Passeriformes"
"843","Percnostola leucostigma leucostigma","Percnostola leucostigma","leucostigma","Percnostola","leucostigma","Formicariidae","Passeriformes"
"844","Percnostola leucostigma subplumbea","Percnostola leucostigma","subplumbea","Percnostola","leucostigma","Formicariidae","Passeriformes"
"845","Percnostola rufifrons rufifrons","Percnostola rufifrons","rufifrons","Percnostola","rufifrons","Formicariidae","Passeriformes"
"846","Microrhopias quixensis bicolor","Microrhopias quixensis","bicolor","Microrhopias","quixensis","Formicariidae","Passeriformes"
"847","Microrhopias quixensis boucardi","Microrhopias quixensis","boucardi","Microrhopias","quixensis","Formicariidae","Passeriformes"
"848","Microrhopias quixensis consobrina","Microrhopias quixensis","consobrina","Microrhopias","quixensis","Formicariidae","Passeriformes"
"849","Microrhopias quixensis emilae","Microrhopias quixensis","emilae","Microrhopias","quixensis","Formicariidae","Passeriformes"
"850","Microrhopias quixensis quixensis","Microrhopias quixensis","quixensis","Microrhopias","quixensis","Formicariidae","Passeriformes"
"851","Microrhopias quixensis virgata","Microrhopias quixensis","virgata","Microrhopias","quixensis","Formicariidae","Passeriformes"
"852","Batara cinerea cinerea","Batara cinerea","cinerea","Batara","cinerea","Formicariidae","Passeriformes"
"853","Coccothraustes vespertinus brooksi","Coccothraustes vespertinus","brooksi","Coccothraustes","vespertinus","Fringillidae","Passeriformes"
"854","Coccothraustes vespertinus vespertinus","Coccothraustes vespertinus","vespertinus","Coccothraustes","vespertinus","Fringillidae","Passeriformes"
"855","Coccothraustes vespertinus ssp","Coccothraustes vespertinus","ssp","Coccothraustes","vespertinus","Fringillidae","Passeriformes"
"856","Coccothraustes vespertinus montanus","Coccothraustes vespertinus","montanus","Coccothraustes","vespertinus","Fringillidae","Passeriformes"
"857","Coccothraustes coccothraustes coccothraustes","Coccothraustes coccothraustes","coccothraustes","Coccothraustes","coccothraustes","Fringillidae","Passeriformes"
"858","Coccothraustes coccothraustes japonicus","Coccothraustes coccothraustes","japonicus","Coccothraustes","coccothraustes","Fringillidae","Passeriformes"
"859","Quiscalus mexicanus peruvianus","Quiscalus mexicanus","peruvianus","Quiscalus","mexicanus","Icteridae","Passeriformes"
"860","Quiscalus mexicanus graysoni","Quiscalus mexicanus","graysoni","Quiscalus","mexicanus","Icteridae","Passeriformes"
"861","Quiscalus mexicanus nelsoni","Quiscalus mexicanus","nelsoni","Quiscalus","mexicanus","Icteridae","Passeriformes"
"862","Quiscalus quiscula quiscula","Quiscalus quiscula","quiscula","Quiscalus","quiscula","Icteridae","Passeriformes"
"863","Quiscalus quiscula ssp","Quiscalus quiscula","ssp","Quiscalus","quiscula","Icteridae","Passeriformes"
"864","Quiscalus quiscula stonei","Quiscalus quiscula","stonei","Quiscalus","quiscula","Icteridae","Passeriformes"
"865","Quiscalus quiscula versicolor","Quiscalus quiscula","versicolor","Quiscalus","quiscula","Icteridae","Passeriformes"
"866","Quiscalus lugubris guadeloupensis","Quiscalus lugubris","guadeloupensis","Quiscalus","lugubris","Icteridae","Passeriformes"
"867","Quiscalus major major","Quiscalus major","major","Quiscalus","major","Icteridae","Passeriformes"
"868","Psarocolius decumanus decumanus","Psarocolius decumanus","decumanus","Psarocolius","decumanus","Icteridae","Passeriformes"
"869","Psarocolius decumanus maculosus","Psarocolius decumanus","maculosus","Psarocolius","decumanus","Icteridae","Passeriformes"
"870","Psarocolius decumanus melanterus","Psarocolius decumanus","melanterus","Psarocolius","decumanus","Icteridae","Passeriformes"
"871","Psarocolius wagleri ssp","Psarocolius wagleri","ssp","Psarocolius","wagleri","Icteridae","Passeriformes"
"872","Psarocolius wagleri ridgwayi","Psarocolius wagleri","ridgwayi","Psarocolius","wagleri","Icteridae","Passeriformes"
"873","Psarocolius angustifrons salmoni","Psarocolius angustifrons","salmoni","Psarocolius","angustifrons","Icteridae","Passeriformes"
"874","Psarocolius angustifrons atrocastaneus","Psarocolius angustifrons","atrocastaneus","Psarocolius","angustifrons","Icteridae","Passeriformes"
"875","Psarocolius angustifrons neglectus","Psarocolius angustifrons","neglectus","Psarocolius","angustifrons","Icteridae","Passeriformes"
"876","Molothrus badius bolivianus","Molothrus badius","bolivianus","Molothrus","badius","Icteridae","Passeriformes"
"877","Molothrus badius fringillarius","Molothrus badius","fringillarius","Molothrus","badius","Icteridae","Passeriformes"
"878","Molothrus badius ssp","Molothrus badius","ssp","Molothrus","badius","Icteridae","Passeriformes"
"879","Molothrus aeneus aeneus","Molothrus aeneus","aeneus","Molothrus","aeneus","Icteridae","Passeriformes"
"880","Molothrus aeneus loyei","Molothrus aeneus","loyei","Molothrus","aeneus","Icteridae","Passeriformes"
"881","Molothrus ater artemisiae","Molothrus ater","artemisiae","Molothrus","ater","Icteridae","Passeriformes"
"882","Aethia pusilla NA","Aethia pusilla",NA,"Aethia","pusilla","Alcidae","Charadriiformes"
"883","Molothrus ater ssp","Molothrus ater","ssp","Molothrus","ater","Icteridae","Passeriformes"
"884","Molothrus ater ater","Molothrus ater","ater","Molothrus","ater","Icteridae","Passeriformes"
"885","Molothrus ater obscurus","Molothrus ater","obscurus","Molothrus","ater","Icteridae","Passeriformes"
"886","Butorides virescens ssp","Butorides virescens","ssp","Butorides","virescens","Ardeidae","Ciconiiformes"
"887","Tauraco corythaix persa","Tauraco corythaix","persa","Tauraco","corythaix","Musophagidae","Cuculiformes"
"888","Zonotrichia capensis subtorquata","Zonotrichia capensis","subtorquata","Zonotrichia","capensis","Emberizidae","Passeriformes"
"889","Zonotrichia capensis septentrionalis","Zonotrichia capensis","septentrionalis","Zonotrichia","capensis","Emberizidae","Passeriformes"
"890","Zonotrichia capensis tocantinsi","Zonotrichia capensis","tocantinsi","Zonotrichia","capensis","Emberizidae","Passeriformes"
"891","Zonotrichia capensis matutina","Zonotrichia capensis","matutina","Zonotrichia","capensis","Emberizidae","Passeriformes"
"892","Zonotrichia capensis costaricensis","Zonotrichia capensis","costaricensis","Zonotrichia","capensis","Emberizidae","Passeriformes"
"893","Podargus strigoides strigoides","Podargus strigoides","strigoides","Podargus","strigoides","Podargidae","Caprimulgiformes"
"894","Loxia curvirostra benti","Loxia curvirostra","benti","Loxia","curvirostra","Fringillidae","Passeriformes"
"895","Loxia curvirostra curvirostra","Loxia curvirostra","curvirostra","Loxia","curvirostra","Fringillidae","Passeriformes"
"896","Loxia curvirostra japonica","Loxia curvirostra","japonica","Loxia","curvirostra","Fringillidae","Passeriformes"
"897","Polioptila albiloris restricta","Polioptila albiloris","restricta","Polioptila","albiloris","Muscicapidae","Passeriformes"
"898","Loxia curvirostra minor","Loxia curvirostra","minor","Loxia","curvirostra","Fringillidae","Passeriformes"
"899","Loxia curvirostra neogaea","Loxia curvirostra","neogaea","Loxia","curvirostra","Fringillidae","Passeriformes"
"900","Loxia curvirostra ssp","Loxia curvirostra","ssp","Loxia","curvirostra","Fringillidae","Passeriformes"
"901","Terathopius ecaudatus NA","Terathopius ecaudatus",NA,"Terathopius","ecaudatus","Accipitridae","Falconiformes"
"902","Buteo regalis NA","Buteo regalis",NA,"Buteo","regalis","Accipitridae","Falconiformes"
"903","Loxia curvirostra stricklandi","Loxia curvirostra","stricklandi","Loxia","curvirostra","Fringillidae","Passeriformes"
"904","Loxia curvirostra bendirei","Loxia curvirostra","bendirei","Loxia","curvirostra","Fringillidae","Passeriformes"
"905","Loxia leucoptera leucoptera","Loxia leucoptera","leucoptera","Loxia","leucoptera","Fringillidae","Passeriformes"
"906","Linurgus olivaceus prigoginei","Linurgus olivaceus","prigoginei","Linurgus","olivaceus","Fringillidae","Passeriformes"
"907","Fringilla coelebs coelebs","Fringilla coelebs","coelebs","Fringilla","coelebs","Fringillidae","Passeriformes"
"908","Fringilla coelebs ssp","Fringilla coelebs","ssp","Fringilla","coelebs","Fringillidae","Passeriformes"
"909","Coccothraustes personatus personatus","Coccothraustes personatus","personatus","Coccothraustes","personatus","Fringillidae","Passeriformes"
"910","Coccothraustes personatus ssp","Coccothraustes personatus","ssp","Coccothraustes","personatus","Fringillidae","Passeriformes"
"911","Pooecetes gramineus gramineus","Pooecetes gramineus","gramineus","Pooecetes","gramineus","Emberizidae","Passeriformes"
"912","Pooecetes gramineus affinis","Pooecetes gramineus","affinis","Pooecetes","gramineus","Emberizidae","Passeriformes"
"913","Plectrophenax nivalis nivalis","Plectrophenax nivalis","nivalis","Plectrophenax","nivalis","Emberizidae","Passeriformes"
"914","Plectrophenax nivalis ssp","Plectrophenax nivalis","ssp","Plectrophenax","nivalis","Emberizidae","Passeriformes"
"915","Tachyphonus cristatus brunneus","Tachyphonus cristatus","brunneus","Tachyphonus","cristatus","Emberizidae","Passeriformes"
"916","Tachyphonus cristatus cristatus","Tachyphonus cristatus","cristatus","Tachyphonus","cristatus","Emberizidae","Passeriformes"
"917","Tachyphonus cristatus madeirae","Tachyphonus cristatus","madeirae","Tachyphonus","cristatus","Emberizidae","Passeriformes"
"918","Tachyphonus cristatus pallidigula","Tachyphonus cristatus","pallidigula","Tachyphonus","cristatus","Emberizidae","Passeriformes"
"919","Tachyphonus luctuosus luctuosus","Tachyphonus luctuosus","luctuosus","Tachyphonus","luctuosus","Emberizidae","Passeriformes"
"920","Tachyphonus luctuosus ssp","Tachyphonus luctuosus","ssp","Tachyphonus","luctuosus","Emberizidae","Passeriformes"
"921","Tachyphonus luctuosus nitidissimus","Tachyphonus luctuosus","nitidissimus","Tachyphonus","luctuosus","Emberizidae","Passeriformes"
"922","Tachyphonus luctuosus axillaris","Tachyphonus luctuosus","axillaris","Tachyphonus","luctuosus","Emberizidae","Passeriformes"
"923","Tachyphonus luctuosus panamensis","Tachyphonus luctuosus","panamensis","Tachyphonus","luctuosus","Emberizidae","Passeriformes"
"924","Tachyphonus surinamus insignis","Tachyphonus surinamus","insignis","Tachyphonus","surinamus","Emberizidae","Passeriformes"
"925","Tachyphonus surinamus surinamus","Tachyphonus surinamus","surinamus","Tachyphonus","surinamus","Emberizidae","Passeriformes"
"926","Chondestes grammacus ssp","Chondestes grammacus","ssp","Chondestes","grammacus","Emberizidae","Passeriformes"
"927","Chondestes grammacus strigatus","Chondestes grammacus","strigatus","Chondestes","grammacus","Emberizidae","Passeriformes"
"928","Phoeniconaias minor NA","Phoeniconaias minor",NA,"Phoeniconaias","minor","Phoenicopteridae","Ciconiiformes"
"929","Chlorothraupis carmioli carmioli","Chlorothraupis carmioli","carmioli","Chlorothraupis","carmioli","Emberizidae","Passeriformes"
"930","Chlorothraupis stolzmanni dugandi","Chlorothraupis stolzmanni","dugandi","Chlorothraupis","stolzmanni","Emberizidae","Passeriformes"
"931","Chlorospingus canigularis conspicillatus","Chlorospingus canigularis","conspicillatus","Chlorospingus","canigularis","Emberizidae","Passeriformes"
"932","Chlorospingus flavigularis flavigularis","Chlorospingus flavigularis","flavigularis","Chlorospingus","flavigularis","Emberizidae","Passeriformes"
"933","Chlorospingus flavigularis marginatus","Chlorospingus flavigularis","marginatus","Chlorospingus","flavigularis","Emberizidae","Passeriformes"
"934","Chlorospingus ophthalmicus honduratius","Chlorospingus ophthalmicus","honduratius","Chlorospingus","ophthalmicus","Emberizidae","Passeriformes"
"935","Chlorospingus ophthalmicus jacqueti","Chlorospingus ophthalmicus","jacqueti","Chlorospingus","ophthalmicus","Emberizidae","Passeriformes"
"936","Chlorospingus ophthalmicus nigriceps","Chlorospingus ophthalmicus","nigriceps","Chlorospingus","ophthalmicus","Emberizidae","Passeriformes"
"937","Chlorospingus ophthalmicus regionalis","Chlorospingus ophthalmicus","regionalis","Chlorospingus","ophthalmicus","Emberizidae","Passeriformes"
"938","Chlorospingus pileatus pileatus","Chlorospingus pileatus","pileatus","Chlorospingus","pileatus","Emberizidae","Passeriformes"
"939","Chlorospingus semifuscus semifuscus","Chlorospingus semifuscus","semifuscus","Chlorospingus","semifuscus","Emberizidae","Passeriformes"
"940","Chlorospingus semifuscus livingstoni","Chlorospingus semifuscus","livingstoni","Chlorospingus","semifuscus","Emberizidae","Passeriformes"
"941","Chlorornis riefferii riefferii","Chlorornis riefferii","riefferii","Chlorornis","riefferii","Emberizidae","Passeriformes"
"942","Chlorophonia cyanea cyanea","Chlorophonia cyanea","cyanea","Chlorophonia","cyanea","Emberizidae","Passeriformes"
"943","Chlorophonia cyanea intensa","Chlorophonia cyanea","intensa","Chlorophonia","cyanea","Emberizidae","Passeriformes"
"944","Chlorophonia cyanea longipennis","Chlorophonia cyanea","longipennis","Chlorophonia","cyanea","Emberizidae","Passeriformes"
"945","Chlorophonia cyanea ssp","Chlorophonia cyanea","ssp","Chlorophonia","cyanea","Emberizidae","Passeriformes"
"946","Chlorophonia occipitalis callophrys","Chlorophonia occipitalis","callophrys","Chlorophonia","occipitalis","Emberizidae","Passeriformes"
"947","Chlorophanes spiza spiza","Chlorophanes spiza","spiza","Chlorophanes","spiza","Emberizidae","Passeriformes"
"948","Chlorophanes spiza subtropicalis","Chlorophanes spiza","subtropicalis","Chlorophanes","spiza","Emberizidae","Passeriformes"
"949","Chlorophanes spiza ssp","Chlorophanes spiza","ssp","Chlorophanes","spiza","Emberizidae","Passeriformes"
"950","Chlorophanes spiza arguta","Chlorophanes spiza","arguta","Chlorophanes","spiza","Emberizidae","Passeriformes"
"951","Chlorophanes spiza exsul","Chlorophanes spiza","exsul","Chlorophanes","spiza","Emberizidae","Passeriformes"
"952","Chlorophanes spiza axillaris","Chlorophanes spiza","axillaris","Chlorophanes","spiza","Emberizidae","Passeriformes"
"953","Certhidea olivacea cinerascens","Certhidea olivacea","cinerascens","Certhidea","olivacea","Emberizidae","Passeriformes"
"954","Certhidea olivacea mentalis","Certhidea olivacea","mentalis","Certhidea","olivacea","Emberizidae","Passeriformes"
"955","Catamenia analis schistaceifrons","Catamenia analis","schistaceifrons","Catamenia","analis","Emberizidae","Passeriformes"
"956","Catamenia analis soederstromi","Catamenia analis","soederstromi","Catamenia","analis","Emberizidae","Passeriformes"
"957","Catamenia inornata minor","Catamenia inornata","minor","Catamenia","inornata","Emberizidae","Passeriformes"
"958","Nectarinia reichenowi lathburyi","Nectarinia reichenowi","lathburyi","Nectarinia","reichenowi","Nectariniidae","Passeriformes"
"959","Nectarinia rubescens rubescens","Nectarinia rubescens","rubescens","Nectarinia","rubescens","Nectariniidae","Passeriformes"
"960","Nectarinia seimundi traylori","Nectarinia seimundi","traylori","Nectarinia","seimundi","Nectariniidae","Passeriformes"
"961","Nectarinia senegalensis gutturalis","Nectarinia senegalensis","gutturalis","Nectarinia","senegalensis","Nectariniidae","Passeriformes"
"962","Nectarinia senegalensis hunteri","Nectarinia senegalensis","hunteri","Nectarinia","senegalensis","Nectariniidae","Passeriformes"
"963","Nectarinia senegalensis lamperti","Nectarinia senegalensis","lamperti","Nectarinia","senegalensis","Nectariniidae","Passeriformes"
"964","Nectarinia senegalensis senegalensis","Nectarinia senegalensis","senegalensis","Nectarinia","senegalensis","Nectariniidae","Passeriformes"
"965","Nectarinia senegalensis ssp","Nectarinia senegalensis","ssp","Nectarinia","senegalensis","Nectariniidae","Passeriformes"
"966","Nectarinia sericea corinna","Nectarinia sericea","corinna","Nectarinia","sericea","Nectariniidae","Passeriformes"
"967","Nectarinia sericeus corinna","Nectarinia sericeus","corinna","Nectarinia","sericeus","Nectariniidae","Passeriformes"
"968","Nectarinia shelleyi hofmanni","Nectarinia shelleyi","hofmanni","Nectarinia","shelleyi","Nectariniidae","Passeriformes"
"969","Nectarinia shelleyi shelleyi","Nectarinia shelleyi","shelleyi","Nectarinia","shelleyi","Nectariniidae","Passeriformes"
"970","Nectarinia souimanga souimanga","Nectarinia souimanga","souimanga","Nectarinia","souimanga","Nectariniidae","Passeriformes"
"971","Nectarinia sperata sperata","Nectarinia sperata","sperata","Nectarinia","sperata","Nectariniidae","Passeriformes"
"972","Nectarinia superba buvuma","Nectarinia superba","buvuma","Nectarinia","superba","Nectariniidae","Passeriformes"
"973","Nectarinia superba superba","Nectarinia superba","superba","Nectarinia","superba","Nectariniidae","Passeriformes"
"974","Nectarinia venusta venusta","Nectarinia venusta","venusta","Nectarinia","venusta","Nectariniidae","Passeriformes"
"975","Nectarinia venusta igneiventris","Nectarinia venusta","igneiventris","Nectarinia","venusta","Nectariniidae","Passeriformes"
"976","Nectarinia venusta falkensteini","Nectarinia venusta","falkensteini","Nectarinia","venusta","Nectariniidae","Passeriformes"
"977","Nectarinia venusta albiventris","Nectarinia venusta","albiventris","Nectarinia","venusta","Nectariniidae","Passeriformes"
"978","Nectarinia veroxii fischeri","Nectarinia veroxii","fischeri","Nectarinia","veroxii","Nectariniidae","Passeriformes"
"979","Nectarinia veroxii veroxii","Nectarinia veroxii","veroxii","Nectarinia","veroxii","Nectariniidae","Passeriformes"
"980","Nectarinia verticalis bohndorffi","Nectarinia verticalis","bohndorffi","Nectarinia","verticalis","Nectariniidae","Passeriformes"
"981","Nectarinia verticalis cyanocephala","Nectarinia verticalis","cyanocephala","Nectarinia","verticalis","Nectariniidae","Passeriformes"
"982","Nectarinia verticalis ssp","Nectarinia verticalis","ssp","Nectarinia","verticalis","Nectariniidae","Passeriformes"
"983","Nectarinia verticalis verticalis","Nectarinia verticalis","verticalis","Nectarinia","verticalis","Nectariniidae","Passeriformes"
"984","Nectarinia verticalis viridisplendens","Nectarinia verticalis","viridisplendens","Nectarinia","verticalis","Nectariniidae","Passeriformes"
"985","Nectarinia zeylonica ssp","Nectarinia zeylonica","ssp","Nectarinia","zeylonica","Nectariniidae","Passeriformes"
"986","Nectarinia cuprea cuprea","Nectarinia cuprea","cuprea","Nectarinia","cuprea","Nectariniidae","Passeriformes"
"987","Nectarinia cuprea chalcea","Nectarinia cuprea","chalcea","Nectarinia","cuprea","Nectariniidae","Passeriformes"
"988","Nectarinia famosa aeneigularis","Nectarinia famosa","aeneigularis","Nectarinia","famosa","Nectariniidae","Passeriformes"
"989","Nectarinia famosa aenigularis","Nectarinia famosa","aenigularis","Nectarinia","famosa","Nectariniidae","Passeriformes"
"990","Nectarinia famosa famosa","Nectarinia famosa","famosa","Nectarinia","famosa","Nectariniidae","Passeriformes"
"991","Nectarinia famosa major","Nectarinia famosa","major","Nectarinia","famosa","Nectariniidae","Passeriformes"
"992","Nectarinia johnstoni dartmouthi","Nectarinia johnstoni","dartmouthi","Nectarinia","johnstoni","Nectariniidae","Passeriformes"
"993","Nectarinia johnstoni johnstoni","Nectarinia johnstoni","johnstoni","Nectarinia","johnstoni","Nectariniidae","Passeriformes"
"994","Nectarinia kilimensis ssp","Nectarinia kilimensis","ssp","Nectarinia","kilimensis","Nectariniidae","Passeriformes"
"995","Nectarinia kilimensis kilimensis","Nectarinia kilimensis","kilimensis","Nectarinia","kilimensis","Nectariniidae","Passeriformes"
"996","Nectarinia tacazze jacksoni","Nectarinia tacazze","jacksoni","Nectarinia","tacazze","Nectariniidae","Passeriformes"
"997","Nectarinia tacazze tacazze","Nectarinia tacazze","tacazze","Nectarinia","tacazze","Nectariniidae","Passeriformes"
"998","Aethopyga siparaja mangini","Aethopyga siparaja","mangini","Aethopyga","siparaja","Nectariniidae","Passeriformes"
"999","Aethopyga siparaja seheriae","Aethopyga siparaja","seheriae","Aethopyga","siparaja","Nectariniidae","Passeriformes"
"1000","Aethopyga siparaja tonkinensis","Aethopyga siparaja","tonkinensis","Aethopyga","siparaja","Nectariniidae","Passeriformes"
"1001","Anthreptes collaris zambesianus","Anthreptes collaris","zambesianus","Anthreptes","collaris","Nectariniidae","Passeriformes"
"1002","Anthreptes collaris zuluensis","Anthreptes collaris","zuluensis","Anthreptes","collaris","Nectariniidae","Passeriformes"
"1003","Anthreptes collaris subcollaris","Anthreptes collaris","subcollaris","Anthreptes","collaris","Nectariniidae","Passeriformes"
"1004","Anthreptes collaris somereni","Anthreptes collaris","somereni","Anthreptes","collaris","Nectariniidae","Passeriformes"
"1005","Anthreptes collaris garguensis","Anthreptes collaris","garguensis","Anthreptes","collaris","Nectariniidae","Passeriformes"
"1006","Anthreptes collaris elachior","Anthreptes collaris","elachior","Anthreptes","collaris","Nectariniidae","Passeriformes"
"1007","Anthreptes collaris beverleyae","Anthreptes collaris","beverleyae","Anthreptes","collaris","Nectariniidae","Passeriformes"
"1008","Anthreptes collaris collaris","Anthreptes collaris","collaris","Anthreptes","collaris","Nectariniidae","Passeriformes"
"1009","Anthreptes fraseri axillaris","Anthreptes fraseri","axillaris","Anthreptes","fraseri","Nectariniidae","Passeriformes"
"1010","Anthreptes fraseri cameroonensis","Anthreptes fraseri","cameroonensis","Anthreptes","fraseri","Nectariniidae","Passeriformes"
"1011","Anthreptes olivacea ragazzii","Anthreptes olivacea","ragazzii","Anthreptes","olivacea","Nectariniidae","Passeriformes"
"1012","Anthreptes platurus metallicus","Anthreptes platurus","metallicus","Anthreptes","platurus","Nectariniidae","Passeriformes"
"1013","Anthreptes platurus platurus","Anthreptes platurus","platurus","Anthreptes","platurus","Nectariniidae","Passeriformes"
"1014","Anthreptes longuemarei angolensis","Anthreptes longuemarei","angolensis","Anthreptes","longuemarei","Nectariniidae","Passeriformes"
"1015","Anthreptes longuemarei haussarum","Anthreptes longuemarei","haussarum","Anthreptes","longuemarei","Nectariniidae","Passeriformes"
"1016","Anthreptes longuemarei nyassae","Anthreptes longuemarei","nyassae","Anthreptes","longuemarei","Nectariniidae","Passeriformes"
"1017","Anthreptes malacensis griseigularis","Anthreptes malacensis","griseigularis","Anthreptes","malacensis","Nectariniidae","Passeriformes"
"1018","Anthreptes orientalis neumanni","Anthreptes orientalis","neumanni","Anthreptes","orientalis","Nectariniidae","Passeriformes"
"1019","Anthreptes orientalis orientalis","Anthreptes orientalis","orientalis","Anthreptes","orientalis","Nectariniidae","Passeriformes"
"1020","Anthreptes rectirostris rubritorques","Anthreptes rectirostris","rubritorques","Anthreptes","rectirostris","Nectariniidae","Passeriformes"
"1021","Anthreptes rectirostris tephrolaema","Anthreptes rectirostris","tephrolaema","Anthreptes","rectirostris","Nectariniidae","Passeriformes"
"1022","Anthreptes reichenowi reichenowi","Anthreptes reichenowi","reichenowi","Anthreptes","reichenowi","Nectariniidae","Passeriformes"
"1023","Anthreptes reichenowi yokanae","Anthreptes reichenowi","yokanae","Anthreptes","reichenowi","Nectariniidae","Passeriformes"
"1024","Arachnothera longirostra pallida","Arachnothera longirostra","pallida","Arachnothera","longirostra","Nectariniidae","Passeriformes"
"1025","Arachnothera magna magna","Arachnothera magna","magna","Arachnothera","magna","Nectariniidae","Passeriformes"
"1026","Hypogramma hypogrammicum nuchale","Hypogramma hypogrammicum","nuchale","Hypogramma","hypogrammicum","Nectariniidae","Passeriformes"
"1027","Phyllastrephus albigularis albigularis","Phyllastrephus albigularis","albigularis","Phyllastrephus","albigularis","Pycnonotidae","Passeriformes"
"1028","Phyllastrephus debilis rabai","Phyllastrephus debilis","rabai","Phyllastrephus","debilis","Pycnonotidae","Passeriformes"
"1029","Phyllastrephus fischeri cabanisi","Phyllastrephus fischeri","cabanisi","Phyllastrephus","fischeri","Pycnonotidae","Passeriformes"
"1030","Phyllastrephus fischeri fischeri","Phyllastrephus fischeri","fischeri","Phyllastrephus","fischeri","Pycnonotidae","Passeriformes"
"1031","Phyllastrephus fischeri placidus","Phyllastrephus fischeri","placidus","Phyllastrephus","fischeri","Pycnonotidae","Passeriformes"
