"","IOC_seq","emu_fullname","emu_order","emu_family","emu_genus","emu_species","emu_subspecies","new_fullname","new_order","new_family","new_genus","new_species","new_subspecies","namechange","familychange","orderchange"
"59",192,"Nothura maculosa ","Tinamiformes","Tinamidae","Nothura","maculosa","","Nothura maculosa ","Tinamiformes","Tinamidae","Nothura","maculosa","","No","No","No"
"60",194,"Nothura maculosa major","Tinamiformes","Tinamidae","Nothura","maculosa","major","Nothura maculosa major","Tinamiformes","Tinamidae","Nothura","maculosa","major","No","No","No"
"61",196,"Nothura maculosa maculosa","Tinamiformes","Tinamidae","Nothura","maculosa","maculosa","Nothura maculosa maculosa","Tinamiformes","Tinamidae","Nothura","maculosa","maculosa","No","No","No"
"62",204,"Eudromia elegans ","Tinamiformes","Tinamidae","Eudromia","elegans","","Eudromia elegans ","Tinamiformes","Tinamidae","Eudromia","elegans","","No","No","No"
"63",214,"Eudromia elegans patagonica","Tinamiformes","Tinamidae","Eudromia","elegans","patagonica","Eudromia elegans patagonica","Tinamiformes","Tinamidae","Eudromia","elegans","patagonica","No","No","No"
"64",220,"Anhima cornuta ","Anseriformes","Anhimidae","Anhima","cornuta","","Anhima cornuta ","Anseriformes","Anhimidae","Anhima","cornuta","","No","No","No"
"65",220,"Anhima sp ","Anseriformes","Anhimidae","Anhima","sp","","Anhima cornuta","Anseriformes","Anhimidae","Anhima","cornuta","cornuta","Yes","No","No"
"66",221,"Chauna chavaria ","Anseriformes","Anhimidae","Chauna","chavaria","","Chauna chavaria ","Anseriformes","Anhimidae","Chauna","chavaria","","No","No","No"
"67",222,"Chauna torquata ","Anseriformes","Anhimidae","Chauna","torquata","","Chauna torquata ","Anseriformes","Anhimidae","Chauna","torquata","","No","No","No"
"68",223,"Anseranas semipalmata ","Anseriformes","Anatidae","Anseranas","semipalmata","","Anseranas semipalmata ","Anseriformes","Anseranatidae","Anseranas","semipalmata","","No","Yes","No"
"69",224,"Dendrocygna viduata ","Anseriformes","Anatidae","Dendrocygna","viduata","","Dendrocygna viduata ","Anseriformes","Anatidae","Dendrocygna","viduata","","No","No","No"
"70",225,"Dendrocygna autumnalis ","Anseriformes","Anatidae","Dendrocygna","autumnalis","","Dendrocygna autumnalis ","Anseriformes","Anatidae","Dendrocygna","autumnalis","","No","No","No"
"71",226,"Dendrocygna autumnalis lucida","Anseriformes","Anatidae","Dendrocygna","autumnalis","lucida","Dendrocygna autumnalis fulgens","Anseriformes","Anatidae","Dendrocygna","autumnalis","fulgens","Yes","No","No"
"72",227,"Dendrocygna autumnalis discolor","Anseriformes","Anatidae","Dendrocygna","autumnalis","discolor","Dendrocygna autumnalis autumnalis","Anseriformes","Anatidae","Dendrocygna","autumnalis","autumnalis","Yes","No","No"
"73",228,"Dendrocygna guttata ","Anseriformes","Anatidae","Dendrocygna","guttata","","Dendrocygna guttata ","Anseriformes","Anatidae","Dendrocygna","guttata","","No","No","No"
"74",229,"Dendrocygna arborea ","Anseriformes","Anatidae","Dendrocygna","arborea","","Dendrocygna arborea ","Anseriformes","Anatidae","Dendrocygna","arborea","","No","No","No"
"75",230,"Dendrocygna bicolor ","Anseriformes","Anatidae","Dendrocygna","bicolor","","Dendrocygna bicolor ","Anseriformes","Anatidae","Dendrocygna","bicolor","","No","No","No"
"76",230,"Dendrocygna bicolor helva","Anseriformes","Anatidae","Dendrocygna","bicolor","helva","Dendrocygna bicolor","Anseriformes","Anatidae","Dendrocygna","bicolor","bicolor","Yes","No","No"
"77",230,"Dendrocygna bicolor bicolor","Anseriformes","Anatidae","Dendrocygna","bicolor","bicolor","Dendrocygna bicolor","Anseriformes","Anatidae","Dendrocygna","bicolor","bicolor","Yes","No","No"
"78",231,"Dendrocygna eytoni ","Anseriformes","Anatidae","Dendrocygna","eytoni","","Dendrocygna eytoni ","Anseriformes","Anatidae","Dendrocygna","eytoni","","No","No","No"
"79",232,"Dendrocygna arcuata ","Anseriformes","Anatidae","Dendrocygna","arcuata","","Dendrocygna arcuata ","Anseriformes","Anatidae","Dendrocygna","arcuata","","No","No","No"
"80",233,"Dendrocygna arcuata arcuata","Anseriformes","Anatidae","Dendrocygna","arcuata","arcuata","Dendrocygna arcuata arcuata","Anseriformes","Anatidae","Dendrocygna","arcuata","arcuata","No","No","No"
"81",236,"Dendrocygna javanica ","Anseriformes","Anatidae","Dendrocygna","javanica","","Dendrocygna javanica ","Anseriformes","Anatidae","Dendrocygna","javanica","","No","No","No"
"82",238,"Thalassornis leuconotus leuconotus","Anseriformes","Anatidae","Thalassornis","leuconotus","leuconotus","Thalassornis leuconotus leuconotus","Anseriformes","Anatidae","Thalassornis","leuconotus","leuconotus","No","No","No"
"83",240,"Cereopsis novaehollandiae ","Anseriformes","Anatidae","Cereopsis","novaehollandiae","","Cereopsis novaehollandiae ","Anseriformes","Anatidae","Cereopsis","novaehollandiae","","No","No","No"
"84",243,"Branta bernicla ","Anseriformes","Anatidae","Branta","bernicla","","Branta bernicla ","Anseriformes","Anatidae","Branta","bernicla","","No","No","No"
"85",244,"Branta bernicla nigricans","Anseriformes","Anatidae","Branta","bernicla","nigricans","Branta bernicla nigricans","Anseriformes","Anatidae","Branta","bernicla","nigricans","No","No","No"
"86",246,"Branta bernicla bernicla","Anseriformes","Anatidae","Branta","bernicla","bernicla","Branta bernicla bernicla","Anseriformes","Anatidae","Branta","bernicla","bernicla","No","No","No"
"87",247,"Branta bernicla hrota","Anseriformes","Anatidae","Branta","bernicla","hrota","Branta bernicla hrota","Anseriformes","Anatidae","Branta","bernicla","hrota","No","No","No"
"88",248,"Branta ruficollis ","Anseriformes","Anatidae","Branta","ruficollis","","Branta ruficollis ","Anseriformes","Anatidae","Branta","ruficollis","","No","No","No"
