ORDER_MBF,FAMILY_MBF,Genus_MBF,Species_MBF,ORDER_HM,FAMILY_HM,Genus_HM,species_HM,subspecies_HM
Podicipediformes,Podicipedidae,Aechmophorus,occidentalis,Phoenicopteriformes,Podicipedidae,Aechmophorus,occidentalis,
Podicipediformes,Podicipedidae,Aechmophorus,occidentalis,Phoenicopteriformes,Podicipedidae,Aechmophorus,clarkii,
Procellariiformes,Diomedeidae,Diomedea,exulans,Procellariiformes,Diomedeidae,Diomedea,exulans,
Procellariiformes,Diomedeidae,Diomedea,epomophora,Procellariiformes,Diomedeidae,Diomedea,epomophora,
Procellariiformes,Diomedeidae,Diomedea,irrorata,Procellariiformes,Diomedeidae,Phoebastria,irrorata,
Procellariiformes,Diomedeidae,Diomedea,albatrus,Procellariiformes,Diomedeidae,Phoebastria,albatrus,
Procellariiformes,Diomedeidae,Diomedea,nigripes,Procellariiformes,Diomedeidae,Phoebastria,nigripes,
Procellariiformes,Diomedeidae,Diomedea,immutabilis,Procellariiformes,Diomedeidae,Phoebastria,immutabilis,
Procellariiformes,Diomedeidae,Diomedea,melanophris,Procellariiformes,Diomedeidae,Thalassarche,melanophris,
Procellariiformes,Diomedeidae,Diomedea,bulleri,Procellariiformes,Diomedeidae,Thalassarche,bulleri,
Procellariiformes,Diomedeidae,Diomedea,cauta,Procellariiformes,Diomedeidae,Thalassarche,cauta,
Procellariiformes,Diomedeidae,Diomedea,chlororhynchos,Procellariiformes,Diomedeidae,Thalassarche,chlororhynchos,
Procellariiformes,Diomedeidae,Diomedea,chrysostoma,Procellariiformes,Diomedeidae,Thalassarche,chrysostoma,
Procellariiformes,Diomedeidae,Phoebetria,fusca,Procellariiformes,Diomedeidae,Phoebetria,fusca,
Procellariiformes,Diomedeidae,Phoebetria,palpebrata,Procellariiformes,Diomedeidae,Phoebetria,palpebrata,
Procellariiformes,Procellariidae,Macronectes,giganteus,Procellariiformes,Procellariidae,Macronectes,giganteus,
Procellariiformes,Procellariidae,Macronectes,halli,Procellariiformes,Procellariidae,Macronectes,halli,
Procellariiformes,Procellariidae,Fulmarus,glacialis,Procellariiformes,Procellariidae,Fulmarus,glacialis,
Procellariiformes,Procellariidae,Fulmarus,glacialoides,Procellariiformes,Procellariidae,Fulmarus,glacialoides,
Procellariiformes,Procellariidae,Thalassoica,antarctica,Procellariiformes,Procellariidae,Thalassoica,antarctica,
Procellariiformes,Procellariidae,Daption,capense,Procellariiformes,Procellariidae,Daption,capense,
Procellariiformes,Procellariidae,Pagodroma,nivea,Procellariiformes,Procellariidae,Pagodroma,nivea,
Procellariiformes,Procellariidae,Pterodroma,macroptera,Procellariiformes,Procellariidae,Pterodroma,macroptera,
Procellariiformes,Procellariidae,Pterodroma,aterrima,Procellariiformes,Procellariidae,Pseudobulweria,aterrima,
Procellariiformes,Procellariidae,Pterodroma,lessoni,Procellariiformes,Procellariidae,Pterodroma,lessonii,
Procellariiformes,Procellariidae,Pterodroma,hasitata,Procellariiformes,Procellariidae,Pterodroma,hasitata,
Procellariiformes,Procellariidae,Pterodroma,cahow,Procellariiformes,Procellariidae,Pterodroma,cahow,
Procellariiformes,Procellariidae,Pterodroma,incerta,Procellariiformes,Procellariidae,Pterodroma,incerta,
Procellariiformes,Procellariidae,Pterodroma,rostrata,Procellariiformes,Procellariidae,Pseudobulweria,rostrata,
Procellariiformes,Procellariidae,Pterodroma,rostrata,Procellariiformes,Procellariidae,Pseudobulweria,becki,
Procellariiformes,Procellariidae,Pterodroma,alba,Procellariiformes,Procellariidae,Pterodroma,alba,
Procellariiformes,Procellariidae,Pterodroma,inexpectata,Procellariiformes,Procellariidae,Pterodroma,inexpectata,
Procellariiformes,Procellariidae,Pterodroma,solandri,Procellariiformes,Procellariidae,Pterodroma,solandri,
Procellariiformes,Procellariidae,Pterodroma,brevirostris,Procellariiformes,Procellariidae,Aphrodroma,brevirostris,
Procellariiformes,Procellariidae,Pterodroma,ultima,Procellariiformes,Procellariidae,Pterodroma,ultima,
Procellariiformes,Procellariidae,Pterodroma,neglecta,Procellariiformes,Procellariidae,Pterodroma,neglecta,
Procellariiformes,Procellariidae,Pterodroma,magentae,Procellariiformes,Procellariidae,Pterodroma,magentae,
Procellariiformes,Procellariidae,Pterodroma,arminjoniana,Procellariiformes,Procellariidae,Pterodroma,arminjoniana,
Procellariiformes,Procellariidae,Pterodroma,arminjoniana,Procellariiformes,Procellariidae,Pterodroma,atrata,
Procellariiformes,Procellariidae,Pterodroma,mollis,Procellariiformes,Procellariidae,Pterodroma,mollis,
Procellariiformes,Procellariidae,Pterodroma,mollis,Procellariiformes,Procellariidae,Pterodroma,feae,
Procellariiformes,Procellariidae,Pterodroma,mollis,Procellariiformes,Procellariidae,Pterodroma,madeira,
Procellariiformes,Procellariidae,Pterodroma,baraui,Procellariiformes,Procellariidae,Pterodroma,baraui,
Procellariiformes,Procellariidae,Pterodroma,phaeopygia,Procellariiformes,Procellariidae,Pterodroma,sandwichensis,
Procellariiformes,Procellariidae,Pterodroma,phaeopygia,Procellariiformes,Procellariidae,Pterodroma,phaeopygia,
Procellariiformes,Procellariidae,Pterodroma,externa,Procellariiformes,Procellariidae,Pterodroma,cervicalis,
Procellariiformes,Procellariidae,Pterodroma,externa,Procellariiformes,Procellariidae,Pterodroma,externa,
Procellariiformes,Procellariidae,Pterodroma,cooki,Procellariiformes,Procellariidae,Pterodroma,defilippiana,
Procellariiformes,Procellariidae,Pterodroma,cooki,Procellariiformes,Procellariidae,Pterodroma,cookii,
Procellariiformes,Procellariidae,Pterodroma,leucoptera,Procellariiformes,Procellariidae,Pterodroma,leucoptera,
Procellariiformes,Procellariidae,Pterodroma,brevipes,Procellariiformes,Procellariidae,Pterodroma,brevipes,
Procellariiformes,Procellariidae,Pterodroma,hypoleuca,Procellariiformes,Procellariidae,Pterodroma,hypoleuca,
Procellariiformes,Procellariidae,Pterodroma,nigripennis,Procellariiformes,Procellariidae,Pterodroma,nigripennis,
Procellariiformes,Procellariidae,Pterodroma,axillaris,Procellariiformes,Procellariidae,Pterodroma,axillaris,
Procellariiformes,Procellariidae,Pterodroma,longirostris,Procellariiformes,Procellariidae,Pterodroma,longirostris,
